simTime,atmosphericLoss_dB,fspl_dB,power_dBm
1.5,1.27446,199.233,-77.9543
1.5,1.28895,199.294,-78.0306
1.50002024,0.493071,195.64,-109.808
1.50003024,0.510119,195.768,-110.011
1.50004024,0.493071,195.794,-110.233
1.50005024,0.493071,195.646,-109.994
1.50006024,0.484669,195.601,-110.016
1.6,1.23156,199.097,-77.7755
1.6,1.24577,199.14,-77.833
1.6,1.26007,199.338,-78.0451
1.6,1.27446,199.233,-77.9543
1.6,1.28895,199.294,-78.0306
1.60002024,0.493071,195.64,-109.808
1.60003024,0.484669,195.575,-109.792
1.60004024,0.510119,195.923,-110.378
1.60005024,0.501554,195.711,-110.066
1.60006024,0.484669,195.601,-110.016
1.7,1.23156,199.097,-77.7755
1.7,1.24577,199.14,-77.833
1.7,1.26007,199.338,-78.0451
1.7,1.27446,199.233,-77.9543
1.7,1.28895,199.294,-78.0306
1.70002024,0.518766,195.832,-110.026
1.70003024,0.518766,195.832,-110.083
1.70004024,0.493071,195.794,-110.233
1.70005024,0.493071,195.646,-109.994
1.70006024,0.501554,195.73,-110.162
1.8,1.23156,199.097,-77.7755
1.8,1.24577,199.14,-77.833
1.8,1.26007,199.338,-78.0451
1.8,1.27446,199.233,-77.9543
1.8,1.28895,199.294,-78.0306
1.80002024,0.510119,195.768,-109.954
1.80003024,0.501554,195.704,-109.939
1.80004024,0.518766,195.986,-110.45
1.80005024,0.518766,195.838,-110.211
1.80006024,0.493071,195.665,-110.089
1.9,1.23156,199.097,-77.7755
1.9,1.24577,199.14,-77.833
1.9,1.26007,199.338,-78.0451
1.9,1.27446,199.233,-77.9543
1.9,1.28895,199.294,-78.0306
1.90002024,0.501554,195.704,-109.881
1.90003024,0.510119,195.768,-110.011
1.90004024,0.518766,195.986,-110.45
1.90005024,0.501554,195.711,-110.066
1.90006024,0.493071,195.665,-110.089
2,1.23156,199.097,-77.7755
2,1.24577,199.14,-77.833
2,1.26007,199.338,-78.0451
2,1.27446,199.233,-77.9543
2,1.28895,199.294,-78.0306
2.00002024,0.501554,195.704,-109.881
2.00003024,0.518766,195.832,-110.083
2.00004024,0.493071,195.794,-110.233
2.00005024,0.518766,195.838,-110.211
2.00006024,0.510119,195.794,-110.234
2.1,1.23156,199.097,-77.7755
2.1,1.24577,199.14,-77.833
2.1,1.26007,199.338,-78.0451
2.1,1.27446,199.233,-77.9543
2.1,1.28895,199.294,-78.0306
2.10002024,0.493071,195.64,-109.808
2.10003024,0.510119,195.768,-110.011
2.10004024,0.484669,195.729,-110.159
2.10005024,0.518766,195.838,-110.211
2.10006024,0.510119,195.794,-110.234
2.2,1.23156,199.097,-77.7755
2.2,1.24577,199.14,-77.833
2.2,1.26007,199.338,-78.0451
2.2,1.27446,199.233,-77.9543
2.2,1.28895,199.294,-78.0306
2.20002024,0.518766,195.832,-110.026
2.20003024,0.510119,195.768,-110.011
2.20004024,0.518766,195.986,-110.45
2.20005024,0.518766,195.838,-110.211
2.20006024,0.493071,195.665,-110.089
2.3,1.23156,199.097,-77.7755
2.3,1.24577,199.14,-77.833
2.3,1.26007,199.338,-78.0451
2.3,1.27446,199.233,-77.9543
2.3,1.28895,199.294,-78.0306
2.30002024,0.501554,195.704,-109.881
2.30003024,0.518766,195.832,-110.083
2.30004024,0.493071,195.794,-110.233
2.30005024,0.484669,195.581,-109.92
2.30006024,0.501554,195.73,-110.162
2.4,1.23156,199.097,-77.7755
2.4,1.24577,199.14,-77.833
2.4,1.26007,199.338,-78.0451
2.4,1.27446,199.233,-77.9543
2.4,1.28895,199.294,-78.0306
2.40002024,0.493071,195.64,-109.808
2.40003024,0.484669,195.575,-109.792
2.40004024,0.518766,195.986,-110.45
2.40005024,0.501554,195.711,-110.066
2.40006024,0.493071,195.665,-110.089
2.5,1.23156,199.097,-77.7755
2.5,1.24577,199.14,-77.833
2.5,1.26007,199.338,-78.0451
2.5,1.27446,199.233,-77.9543
2.5,1.28895,199.294,-78.0306
2.50002024,0.493071,195.64,-109.808
2.50003024,0.510119,195.768,-110.011
2.50004024,0.493071,195.794,-110.233
2.50005024,0.501554,195.711,-110.066
2.50006024,0.501554,195.73,-110.162
2.6,1.23156,199.097,-77.7755
2.6,1.24577,199.14,-77.833
2.6,1.26007,199.338,-78.0451
2.6,1.27446,199.233,-77.9543
2.6,1.28895,199.294,-78.0306
2.60002024,0.501554,195.704,-109.881
2.60003024,0.510119,195.768,-110.011
2.60004024,0.518766,195.986,-110.45
2.60005024,0.501554,195.711,-110.066
2.60006024,0.484669,195.601,-110.016
2.7,1.23156,199.097,-77.7755
2.7,1.24577,199.14,-77.833
2.7,1.26007,199.338,-78.0451
2.7,1.27446,199.233,-77.9543
2.7,1.28895,199.294,-78.0306
2.70002024,0.510119,195.768,-109.954
2.70003024,0.484669,195.575,-109.792
2.70004024,0.518766,195.986,-110.45
2.70005024,0.501554,195.711,-110.066
2.70006024,0.501554,195.73,-110.162
2.8,1.23156,199.097,-77.7755
2.8,1.24577,199.14,-77.833
2.8,1.26007,199.338,-78.0451
2.8,1.27446,199.233,-77.9543
2.8,1.28895,199.294,-78.0306
2.80002024,0.493071,195.64,-109.808
2.80003024,0.510119,195.768,-110.011
2.80004024,0.493071,195.794,-110.233
2.80005024,0.501554,195.711,-110.066
2.80006024,0.484669,195.601,-110.016
2.9,1.23156,199.097,-77.7755
2.9,1.24577,199.14,-77.833
2.9,1.26007,199.338,-78.0451
2.9,1.27446,199.233,-77.9543
2.9,1.28895,199.294,-78.0306
2.90002024,0.493071,195.64,-109.808
2.90003024,0.510119,195.768,-110.011
2.90004024,0.484669,195.729,-110.159
2.90005024,0.518766,195.838,-110.211
2.90006024,0.493071,195.665,-110.089
3,1.23156,199.097,-77.7755
3,1.24577,199.14,-77.833
3,1.26007,199.338,-78.0451
3,1.27446,199.233,-77.9543
3,1.28895,199.294,-78.0306
3.00002024,0.518766,195.832,-110.026
3.00003024,0.501554,195.704,-109.939
3.00004024,0.493071,195.794,-110.233
3.00005024,0.493071,195.646,-109.994
3.00006024,0.510119,195.794,-110.234
3.1,1.23156,199.097,-77.7755
3.1,1.24577,199.14,-77.833
3.1,1.26007,199.338,-78.0451
3.1,1.27446,199.233,-77.9543
3.1,1.28895,199.294,-78.0306
3.10002024,0.518766,195.832,-110.026
3.10003024,0.484669,195.575,-109.792
3.10004024,0.510119,195.923,-110.378
3.10005024,0.484669,195.581,-109.92
3.10006024,0.501554,195.73,-110.162
3.2,1.23156,199.097,-77.7755
3.2,1.24577,199.14,-77.833
3.2,1.26007,199.338,-78.0451
3.2,1.27446,199.233,-77.9543
3.2,1.28895,199.294,-78.0306
3.20002024,0.493071,195.64,-109.808
3.20003024,0.518766,195.832,-110.083
3.20004024,0.518766,195.986,-110.45
3.20005024,0.493071,195.646,-109.994
3.20006024,0.493071,195.665,-110.089
3.3,1.23156,199.097,-77.7755
3.3,1.24577,199.14,-77.833
3.3,1.26007,199.338,-78.0451
3.3,1.27446,199.233,-77.9543
3.3,1.28895,199.294,-78.0306
3.30002024,0.510119,195.768,-109.954
3.30003024,0.484669,195.575,-109.792
3.30004024,0.484669,195.729,-110.159
3.30005024,0.484669,195.581,-109.92
3.30006024,0.493071,195.665,-110.089
3.4,1.23156,199.097,-77.7755
3.4,1.24577,199.14,-77.833
3.4,1.26007,199.338,-78.0451
3.4,1.27446,199.233,-77.9543
3.4,1.28895,199.294,-78.0306
3.40002024,0.501554,195.704,-109.881
3.40003024,0.501554,195.704,-109.939
3.40004024,0.493071,195.794,-110.233
3.40005024,0.484669,195.581,-109.92
3.40006024,0.493071,195.665,-110.089
3.5,1.23156,199.097,-77.7755
3.5,1.24577,199.14,-77.833
3.5,1.26007,199.338,-78.0451
3.5,1.27446,199.233,-77.9543
3.5,1.28895,199.294,-78.0306
3.50002024,0.501554,195.704,-109.881
3.50003024,0.510119,195.768,-110.011
3.50004024,0.493071,195.794,-110.233
3.50005024,0.501554,195.711,-110.066
3.50006024,0.510119,195.794,-110.234
3.6,1.23156,199.097,-77.7755
3.6,1.24577,199.14,-77.833
3.6,1.26007,199.338,-78.0451
3.6,1.27446,199.233,-77.9543
3.6,1.28895,199.294,-78.0306
3.60002024,0.493071,195.64,-109.808
3.60003024,0.510119,195.768,-110.011
3.60004024,0.510119,195.923,-110.378
3.60005024,0.484669,195.581,-109.92
3.60006024,0.501554,195.73,-110.162
3.7,1.23156,199.097,-77.7755
3.7,1.24577,199.14,-77.833
3.7,1.26007,199.338,-78.0451
3.7,1.27446,199.233,-77.9543
3.7,1.28895,199.294,-78.0306
3.70002024,0.501554,195.704,-109.881
3.70003024,0.501554,195.704,-109.939
3.70004024,0.493071,195.794,-110.233
3.70005024,0.501554,195.711,-110.066
3.70006024,0.501554,195.73,-110.162
3.8,1.23156,199.097,-77.7755
3.8,1.24577,199.14,-77.833
3.8,1.26007,199.338,-78.0451
3.8,1.27446,199.233,-77.9543
3.8,1.28895,199.294,-78.0306
3.80002024,0.510119,195.768,-109.954
3.80003024,0.484669,195.575,-109.792
3.80004024,0.484669,195.729,-110.159
3.80005024,0.493071,195.646,-109.994
3.80006024,0.510119,195.794,-110.234
3.9,1.23156,199.097,-77.7755
3.9,1.24577,199.14,-77.833
3.9,1.26007,199.338,-78.0451
3.9,1.27446,199.233,-77.9543
3.9,1.28895,199.294,-78.0306
3.90002024,0.493071,195.64,-109.808
3.90003024,0.484669,195.575,-109.792
3.90004024,0.518766,195.986,-110.45
3.90005024,0.493071,195.646,-109.994
3.90006024,0.501554,195.73,-110.162
4,1.23156,199.097,-77.7755
4,1.24577,199.14,-77.833
4,1.26007,199.338,-78.0451
4,1.27446,199.233,-77.9543
4,1.28895,199.294,-78.0306
4.00002024,0.501554,195.704,-109.881
4.00003024,0.501554,195.704,-109.939
4.00004024,0.493071,195.794,-110.233
4.00005024,0.484669,195.581,-109.92
4.00006024,0.493071,195.665,-110.089
4.1,1.23156,199.097,-77.7755
4.1,1.24577,199.14,-77.833
4.1,1.26007,199.338,-78.0451
4.1,1.27446,199.233,-77.9543
4.1,1.28895,199.294,-78.0306
4.10002024,0.510119,195.768,-109.954
4.10003024,0.510119,195.768,-110.011
4.10004024,0.484669,195.729,-110.159
4.10005024,0.518766,195.838,-110.211
4.10006024,0.510119,195.794,-110.234
4.2,1.23156,199.097,-77.7755
4.2,1.24577,199.14,-77.833
4.2,1.26007,199.338,-78.0451
4.2,1.27446,199.233,-77.9543
4.2,1.28895,199.294,-78.0306
4.20002024,0.493071,195.64,-109.808
4.20003024,0.484669,195.575,-109.792
4.20004024,0.510119,195.923,-110.378
4.20005024,0.501554,195.711,-110.066
4.20006024,0.501554,195.73,-110.162
4.3,1.23156,199.097,-77.7755
4.3,1.24577,199.14,-77.833
4.3,1.26007,199.338,-78.0451
4.3,1.27446,199.233,-77.9543
4.3,1.28895,199.294,-78.0306
4.30002024,0.518766,195.832,-110.026
4.30003024,0.518766,195.832,-110.083
4.30004024,0.510119,195.923,-110.378
4.30005024,0.518766,195.838,-110.211
4.30006024,0.501554,195.73,-110.162
4.4,1.23156,199.097,-77.7755
4.4,1.24577,199.14,-77.833
4.4,1.26007,199.338,-78.0451
4.4,1.27446,199.233,-77.9543
4.4,1.28895,199.294,-78.0306
4.40002024,0.518766,195.832,-110.026
4.40003024,0.484669,195.575,-109.792
4.40004024,0.484669,195.729,-110.159
4.40005024,0.518766,195.838,-110.211
4.40006024,0.493071,195.665,-110.089
4.5,1.23156,199.097,-77.7755
4.5,1.24577,199.14,-77.833
4.5,1.26007,199.338,-78.0451
4.5,1.27446,199.233,-77.9543
4.5,1.28895,199.294,-78.0306
4.50002024,0.501554,195.704,-109.881
4.50003024,0.484669,195.575,-109.792
4.50004024,0.518766,195.986,-110.45
4.50005024,0.484669,195.581,-109.92
4.50006024,0.493071,195.665,-110.089
4.6,1.23156,199.097,-77.7755
4.6,1.24577,199.14,-77.833
4.6,1.26007,199.338,-78.0451
4.6,1.27446,199.233,-77.9543
4.6,1.28895,199.294,-78.0306
4.60002024,0.518766,195.832,-110.026
4.60003024,0.484669,195.575,-109.792
4.60004024,0.493071,195.794,-110.233
4.60005024,0.501554,195.711,-110.066
4.60006024,0.493071,195.665,-110.089
4.7,1.23156,199.097,-77.7755
4.7,1.24577,199.14,-77.833
4.7,1.26007,199.338,-78.0451
4.7,1.27446,199.233,-77.9543
4.7,1.28895,199.294,-78.0306
4.70002024,0.501554,195.704,-109.881
4.70003024,0.501554,195.704,-109.939
4.70004024,0.518766,195.986,-110.45
4.70005024,0.501554,195.711,-110.066
4.70006024,0.484669,195.601,-110.016
4.8,1.23156,199.097,-77.7755
4.8,1.24577,199.14,-77.833
4.8,1.26007,199.338,-78.0451
4.8,1.27446,199.233,-77.9543
4.8,1.28895,199.294,-78.0306
4.80002024,0.501554,195.704,-109.881
4.80003024,0.501554,195.704,-109.939
4.80004024,0.493071,195.794,-110.233
4.80005024,0.501554,195.711,-110.066
4.80006024,0.501554,195.73,-110.162
4.9,1.23156,199.097,-77.7755
4.9,1.24577,199.14,-77.833
4.9,1.26007,199.338,-78.0451
4.9,1.27446,199.233,-77.9543
4.9,1.28895,199.294,-78.0306
4.90002024,0.493071,195.64,-109.808
4.90003024,0.510119,195.768,-110.011
4.90004024,0.518766,195.986,-110.45
4.90005024,0.518766,195.838,-110.211
4.90006024,0.493071,195.665,-110.089
5,1.23156,199.097,-77.7755
5,1.24577,199.14,-77.833
