simTime,MCCIndex,specWeatherModel
2.80001,3,30.6789
2.8,4,10.529
2.80001,4,10.529
2.9,0,9.91992
2.90001,0,0
2.9,1,1.9763
2.90001,1,22.8251
2.9,2,10.6952
2.90001,2,10.6952
2.9,3,30.6789
2.90001,3,30.6789
2.9,4,10.529
2.90001,4,24.7102
3,0,0
3.00001,0,2.69506
3,1,22.8251
3.00001,1,22.8251
3,2,10.6952
3.00001,2,0
3,3,30.6789
3.00001,3,30.6789
3,4,24.7102
3.00001,4,17.0568
3.1,0,2.69506
3.10001,0,0
3.1,1,22.8251
3.10001,1,22.8251
3.1,2,0
3.10001,2,20.4622
3.1,3,30.6789
3.10001,3,30.6789
3.1,4,17.0568
3.10001,4,17.0568
3.2,0,0
3.20001,0,0
3.2,1,22.8251
3.20001,1,22.8251
3.2,2,20.4622
3.20001,2,20.4622
3.2,3,30.6789
3.20001,3,30.6789
3.2,4,17.0568
3.20001,4,16.6312
3.3,0,0
3.30001,0,0
3.3,1,22.8251
3.30001,1,22.5608
3.3,2,20.4622
3.30001,2,0
3.3,3,30.6789
3.30001,3,36.6991
3.3,4,16.6312
3.30001,4,16.6312
3.4,0,0
3.40001,0,0
3.4,1,22.5608
3.40001,1,43.7444
3.4,2,0
3.40001,2,23.4324
3.4,3,36.6991
3.40001,3,36.6991
3.4,4,16.6312
3.40001,4,28.6076
3.5,0,0
3.50001,0,21.9005
3.5,1,43.7444
3.50001,1,43.7444
3.5,2,23.4324
3.50001,2,23.4324
3.5,3,36.6991
3.50001,3,36.6991
3.5,4,28.6076
3.50001,4,13.4267
3.6,0,21.9005
3.60001,0,20.5877
3.6,1,43.7444
3.60001,1,33.6366
3.6,2,23.4324
3.60001,2,23.4324
3.6,3,36.6991
3.60001,3,36.6991
3.6,4,13.4267
3.60001,4,21.8464
3.7,0,20.5877
3.70001,0,20.5877
3.7,1,33.6366
3.70001,1,33.6366
3.7,2,23.4324
3.70001,2,23.4324
3.7,3,36.6991
3.70001,3,27.0126
3.7,4,21.8464
3.70001,4,21.8464
3.8,0,20.5877
3.80001,0,7.44106
3.8,1,33.6366
3.80001,1,33.6366
3.8,2,23.4324
3.80001,2,23.4324
3.8,3,27.0126
3.80001,3,26.151
3.8,4,21.8464
3.80001,4,10.0704
3.9,0,7.44106
3.90001,0,7.44106
3.9,1,33.6366
3.90001,1,33.6366
3.9,2,23.4324
3.90001,2,23.4324
3.9,3,26.151
3.90001,3,26.151
3.9,4,10.0704
3.90001,4,5.73417
4,0,7.44106
4.00001,0,7.44106
4,1,33.6366
4.00001,1,47.6016
4,2,23.4324
4.00001,2,23.4324
4,3,26.151
4.00001,3,26.151
4,4,5.73417
4.00001,4,5.73417
4.1,0,7.44106
4.10001,0,14.1711
4.1,1,47.6016
4.10001,1,29.6872
4.1,2,23.4324
4.10001,2,29.4773
4.1,3,26.151
4.10001,3,26.151
4.1,4,5.73417
4.10001,4,19.9978
4.2,0,14.1711
4.20001,0,27.6296
4.2,1,29.6872
4.20001,1,29.6872
4.2,2,29.4773
4.20001,2,29.4773
4.2,3,26.151
4.20001,3,26.151
4.2,4,19.9978
4.20001,4,19.9978
4.3,0,27.6296
4.30001,0,27.6296
4.3,1,29.6872
4.30001,1,29.6872
4.3,2,29.4773
4.30001,2,17.405
4.3,3,26.151
4.30001,3,41.6483
