simTime,MCCIndex,specWeatherModel
2.70001,4,103.037
2.8,0,6.65116
2.80001,0,6.65116
2.8,1,0
2.80001,1,0
2.8,2,11.8166
2.80001,2,11.8166
2.8,3,48.8557
2.80001,3,48.8557
2.8,4,103.037
2.80001,4,117.547
2.9,0,6.65116
2.90001,0,19.1398
2.9,1,0
2.90001,1,0
2.9,2,11.8166
2.90001,2,11.8166
2.9,3,48.8557
2.90001,3,48.8557
2.9,4,117.547
2.90001,4,117.547
3,0,19.1398
3.00001,0,25.0414
3,1,0
3.00001,1,0
3,2,11.8166
3.00001,2,0
3,3,48.8557
3.00001,3,48.8557
3,4,117.547
3.00001,4,110.03
3.1,0,25.0414
3.10001,0,25.0414
3.1,1,0
3.10001,1,0
3.1,2,0
3.10001,2,0
3.1,3,48.8557
3.10001,3,58.1169
3.1,4,110.03
3.10001,4,110.03
3.2,0,25.0414
3.20001,0,25.0414
3.2,1,0
3.20001,1,0
3.2,2,0
3.20001,2,0
3.2,3,58.1169
3.20001,3,58.1169
3.2,4,110.03
3.20001,4,110.03
3.3,0,25.0414
3.30001,0,25.0414
3.3,1,0
3.30001,1,0
3.3,2,0
3.30001,2,0
3.3,3,58.1169
3.30001,3,58.1169
3.3,4,110.03
3.30001,4,113.954
3.4,0,25.0414
3.40001,0,49.5874
3.4,1,0
3.40001,1,0
3.4,2,0
3.40001,2,0
3.4,3,58.1169
3.40001,3,58.1169
3.4,4,113.954
3.40001,4,102.669
3.5,0,49.5874
3.50001,0,69.2714
3.5,1,0
3.50001,1,0
3.5,2,0
3.50001,2,0
3.5,3,58.1169
3.50001,3,58.1169
3.5,4,102.669
3.50001,4,102.669
3.6,0,69.2714
3.60001,0,64.0095
3.6,1,0
3.60001,1,12.1328
3.6,2,0
3.60001,2,0
3.6,3,58.1169
3.60001,3,59.5318
3.6,4,102.669
3.60001,4,102.669
3.7,0,64.0095
3.70001,0,64.0095
3.7,1,12.1328
3.70001,1,12.1328
3.7,2,0
3.70001,2,12.7224
3.7,3,59.5318
3.70001,3,59.5318
3.7,4,102.669
3.70001,4,102.669
3.8,0,64.0095
3.80001,0,42.2717
3.8,1,12.1328
3.80001,1,27.3594
3.8,2,12.7224
3.80001,2,12.7224
3.8,3,59.5318
3.80001,3,59.5318
3.8,4,102.669
3.80001,4,102.669
3.9,0,42.2717
3.90001,0,42.2717
3.9,1,27.3594
3.90001,1,17.6845
3.9,2,12.7224
3.90001,2,0
3.9,3,59.5318
3.90001,3,71.5226
3.9,4,102.669
3.90001,4,102.669
4,0,42.2717
4.00001,0,42.2717
4,1,17.6845
4.00001,1,30.3686
4,2,0
4.00001,2,0
4,3,71.5226
4.00001,3,68.2274
4,4,102.669
4.00001,4,102.669
4.1,0,42.2717
4.10001,0,42.2717
4.1,1,30.3686
4.10001,1,14.873
4.1,2,0
4.10001,2,0
4.1,3,68.2274
4.10001,3,63.8856
4.1,4,102.669
4.10001,4,101.36
4.2,0,42.2717
4.20001,0,42.2717
4.2,1,14.873
4.20001,1,14.873
4.2,2,0
4.20001,2,0
4.2,3,63.8856
4.20001,3,63.8856
4.2,4,101.36
4.20001,4,86.613
4.3,0,42.2717
4.30001,0,42.2717
4.3,1,14.873
4.30001,1,38.0657
4.3,2,0
4.30001,2,11.7595
4.3,3,63.8856
4.30001,3,63.8856
4.3,4,86.613
4.30001,4,86.613
4.4,0,42.2717
4.40001,0,39.9187
4.4,1,38.0657
4.40001,1,38.0657
4.4,2,11.7595
4.40001,2,11.7595
4.4,3,63.8856
4.40001,3,40.8995
4.4,4,86.613
4.40001,4,102.472
4.5,0,39.9187
4.50001,0,59.7089
4.5,1,38.0657
4.50001,1,38.0657
4.5,2,11.7595
4.50001,2,11.7595
4.5,3,40.8995
4.50001,3,40.8995
4.5,4,102.472
4.50001,4,106.77
4.6,0,59.7089
4.60001,0,59.7089
4.6,1,38.0657
4.60001,1,36.5718
4.6,2,11.7595
4.60001,2,11.7595
4.6,3,40.8995
4.60001,3,40.8995
4.6,4,106.77
4.60001,4,130.606
4.7,0,59.7089
4.70001,0,59.7089
4.7,1,36.5718
4.70001,1,36.5718
4.7,2,11.7595
4.70001,2,11.2203
4.7,3,40.8995
4.70001,3,57.0678
4.7,4,130.606
4.70001,4,126.831
4.8,0,59.7089
4.80001,0,59.7089
4.8,1,36.5718
4.80001,1,45.3743
4.8,2,11.2203
4.80001,2,11.2203
4.8,3,57.0678
4.80001,3,57.0678
4.8,4,126.831
4.80001,4,126.831
4.9,0,59.7089
4.90001,0,59.7089
4.9,1,45.3743
4.90001,1,45.3743
4.9,2,11.2203
4.90001,2,11.2203
4.9,3,57.0678
4.90001,3,57.0678
4.9,4,126.831
4.90001,4,126.831
5,0,59.7089
5.00001,0,59.7089
5,1,45.3743
5.00001,1,45.3743
5,2,11.2203
5.00001,2,11.2203
5,3,57.0678
5.00001,3,38.7418
5,4,126.831
5.00001,4,126.831
5.1,0,59.7089
5.10001,0,59.7089
5.1,1,45.3743
5.10001,1,58.2656
5.1,2,11.2203
5.10001,2,11.2203
5.1,3,38.7418
5.10001,3,38.7418
5.1,4,126.831
5.10001,4,126.831
5.2,0,59.7089
5.20001,0,59.7089
5.2,1,58.2656
5.20001,1,45.8981
5.2,2,11.2203
5.20001,2,11.2203
5.2,3,38.7418
5.20001,3,61.6156
5.2,4,126.831
5.20001,4,127.115
5.3,0,59.7089
5.30001,0,59.7089
5.3,1,45.8981
5.30001,1,45.8981
5.3,2,11.2203
5.30001,2,11.2203
5.3,3,61.6156
5.30001,3,77.8231
5.3,4,127.115
5.30001,4,141.819
5.4,0,59.7089
5.40001,0,59.7089
5.4,1,45.8981
5.40001,1,45.8981
5.4,2,11.2203
5.40001,2,11.2203
5.4,3,77.8231
5.40001,3,77.8231
5.4,4,141.819
5.40001,4,141.819
5.5,0,59.7089
5.50001,0,59.7089
