simTime,MCCIndex,specWeatherModel,cloudCover,cloudHeight
1.8,3,6.81957,1,1
1.80001,3,6.81957,1,1
1.8,4,19.132,1,1.24931
1.80001,4,7.3969,1,3.10905
1.9,0,0,0,4.88374
1.90001,0,0,0,1.35059
1.9,1,16.3633,1,1
1.90001,1,5.49758,1,1
1.9,2,12.6036,1,1
1.90001,2,12.6036,1,3.88304
1.9,3,6.81957,1,1
1.90001,3,2.42608,0,1
1.9,4,7.3969,1,3.10905
1.90001,4,7.3969,1,1
2,0,0,0,1.35059
2.00001,0,0,0,1
2,1,5.49758,1,1
2.00001,1,5.49758,1,1.944
2,2,12.6036,1,3.88304
2.00001,2,20.6126,1,1.01817
2,3,2.42608,0,1
2.00001,3,2.42608,0,3.08362
2,4,7.3969,1,1
2.00001,4,0,0,3.76272
2.1,0,0,0,1
2.10001,0,0,0,1
2.1,1,5.49758,1,1.944
2.10001,1,5.49758,1,2.65485
2.1,2,20.6126,1,1.01817
2.10001,2,20.6126,1,4.60314
2.1,3,2.42608,0,3.08362
2.10001,3,0,0,1
2.1,4,0,0,3.76272
2.10001,4,0,0,1
2.2,0,0,0,1
2.20001,0,0,0,2.78345
2.2,1,5.49758,1,2.65485
2.20001,1,5.49758,1,1
2.2,2,20.6126,1,4.60314
2.20001,2,20.6126,1,1
2.2,3,0,0,1
2.20001,3,0,0,1
2.2,4,0,0,1
2.20001,4,5.67044,1,1.98981
2.3,0,0,0,2.78345
2.30001,0,0,0,1
2.3,1,5.49758,1,1
2.30001,1,5.49758,1,3.83125
2.3,2,20.6126,1,1
2.30001,2,25.5053,2,1
2.3,3,0,0,1
2.30001,3,0,0,3.07023
2.3,4,5.67044,1,1.98981
2.30001,4,5.67044,1,1
2.4,0,0,0,1
2.40001,0,14.0181,1,3.78193
2.4,1,5.49758,1,3.83125
2.40001,1,5.49758,1,1
2.4,2,25.5053,2,1
2.40001,2,25.5053,2,1
2.4,3,0,0,3.07023
2.40001,3,0,0,1.91478
2.4,4,5.67044,1,1
2.40001,4,5.67044,1,1
2.5,0,14.0181,1,3.78193
2.50001,0,15.1877,1,2.39264
2.5,1,5.49758,1,1
2.50001,1,5.49758,1,1
2.5,2,25.5053,2,1
2.50001,2,31.2914,2,1
2.5,3,0,0,1.91478
2.50001,3,0,0,1
2.5,4,5.67044,1,1
2.50001,4,5.67044,1,1
2.6,0,15.1877,1,2.39264
2.60001,0,7.76822,1,1
2.6,1,5.49758,1,1
2.60001,1,0,0,2.50812
2.6,2,31.2914,2,1
2.60001,2,31.2914,2,1
2.6,3,0,0,1
2.60001,3,0,0,1
2.6,4,5.67044,1,1
2.60001,4,5.67044,1,1.14563
2.7,0,7.76822,1,1
2.70001,0,19.9065,1,1
2.7,1,0,0,2.50812
2.70001,1,0,0,1.90205
2.7,2,31.2914,2,1
2.70001,2,31.2914,2,1
2.7,3,0,0,1
2.70001,3,0,0,1
2.7,4,5.67044,1,1.14563
2.70001,4,0,0,1
2.8,0,19.9065,1,1
2.80001,0,19.9065,1,1
2.8,1,0,0,1.90205
2.80001,1,0,0,1
2.8,2,31.2914,2,1
2.80001,2,31.2914,2,2.67488
2.8,3,0,0,1
2.80001,3,0,0,1
2.8,4,0,0,1
2.80001,4,12.5279,1,1
2.9,0,19.9065,1,1
2.90001,0,32.147,2,1
2.9,1,0,0,1
2.90001,1,0,0,4.6484
2.9,2,31.2914,2,2.67488
2.90001,2,25.7025,2,1.30843
2.9,3,0,0,1
2.90001,3,0,0,4.52101
2.9,4,12.5279,1,1
2.90001,4,10.3864,1,4.26721
3,0,32.147,2,1
3.00001,0,32.147,2,1.6741
3,1,0,0,4.6484
3.00001,1,0,0,1
3,2,25.7025,2,1.30843
3.00001,2,25.7025,2,1
3,3,0,0,4.52101
3.00001,3,0,0,1
3,4,10.3864,1,4.26721
3.00001,4,10.3864,1,1
3.1,0,32.147,2,1.6741
3.10001,0,32.147,2,3.41386
3.1,1,0,0,1
3.10001,1,0,0,1
3.1,2,25.7025,2,1
3.10001,2,25.7025,2,4.57846
3.1,3,0,0,1
3.10001,3,9.37176,1,2.26319
3.1,4,10.3864,1,1
3.10001,4,10.3864,1,4.6768
3.2,0,32.147,2,3.41386
3.20001,0,32.147,2,1
3.2,1,0,0,1
3.20001,1,0,0,2.6292
3.2,2,25.7025,2,4.57846
3.20001,2,25.7025,2,1
3.2,3,9.37176,1,2.26319
3.20001,3,1.61914,0,2.72739
3.2,4,10.3864,1,4.6768
3.20001,4,10.3864,1,1.1893
3.3,0,32.147,2,1
3.30001,0,32.147,2,1
3.3,1,0,0,2.6292
3.30001,1,0,0,1
3.3,2,25.7025,2,1
3.30001,2,25.7025,2,2.86172
3.3,3,1.61914,0,2.72739
3.30001,3,0,0,3.81908
3.3,4,10.3864,1,1.1893
3.30001,4,10.3864,1,1
3.4,0,32.147,2,1
3.40001,0,32.147,2,2.35194
3.4,1,0,0,1
3.40001,1,0,0,1
3.4,2,25.7025,2,2.86172
3.40001,2,32.9328,2,1
3.4,3,0,0,3.81908
3.40001,3,0,0,1
3.4,4,10.3864,1,1
3.40001,4,10.3864,1,4.02422
3.5,0,32.147,2,2.35194
3.50001,0,32.147,2,2.56107
3.5,1,0,0,1
3.50001,1,0,0,4.08535
3.5,2,32.9328,2,1
3.50001,2,40.8833,2,1
3.5,3,0,0,1
3.50001,3,0,0,4.58336
3.5,4,10.3864,1,4.02422
3.50001,4,10.3864,1,3.76793
3.6,0,32.147,2,2.56107
3.60001,0,32.147,2,1
3.6,1,0,0,4.08535
3.60001,1,0,0,1
3.6,2,40.8833,2,1
3.60001,2,40.8833,2,3.07211
3.6,3,0,0,4.58336
3.60001,3,0,0,1
3.6,4,10.3864,1,3.76793
3.60001,4,14.1404,1,3.26023
3.7,0,32.147,2,1
