simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
1.7,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.7,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.8,0,4.02215,0.00298903,212.167,-93.6393,0,0
1.8,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
1.8,2,18.0228,0.0152794,212.341,-107.826,22.2899,0
1.8,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.8,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.9,0,19.6431,0.0145976,212.167,-109.272,0,0
1.9,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
1.9,2,4.02215,0.00340988,212.341,-93.8137,16.5095,0
1.9,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.9,4,5.0249,0.00384719,212.231,-94.7071,12.5393,0
2,0,5.43226,0.00403695,212.167,-95.0505,0,0
2,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
2,2,15.6181,0.0132407,212.341,-105.419,16.5095,0
2,3,4.02215,0.00302638,212.202,-93.6748,2.42608,0
2,4,12.505,0.00957418,212.231,-102.193,0.804216,0
2.1,0,4.02215,0.00298903,212.167,-93.6393,0,0
2.1,1,4.02215,0.00299636,212.176,-93.6489,0,0
2.1,2,4.09523,0.00347184,212.341,-93.8868,24.5186,0
2.1,3,12.4028,0.0093322,212.202,-102.062,2.42608,0
2.1,4,4.02215,0.00307945,212.231,-93.7036,0.804216,0
2.2,0,4.02215,0.00298903,212.167,-93.6393,0,0
2.2,1,7.81906,0.00582492,212.176,-97.4487,0,0
2.2,2,18.5145,0.0156962,212.341,-108.318,24.5186,0
2.2,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.2,4,15.1342,0.0115871,212.231,-104.824,0,0
2.3,0,11.1955,0.00831982,212.167,-100.818,0,0
2.3,1,10.6782,0.00795488,212.176,-100.31,0,0
2.3,2,4.02215,0.00340988,212.341,-93.8137,24.5186,0
2.3,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.3,4,4.02215,0.00307945,212.231,-93.7036,0,0
2.4,0,4.02215,0.00298903,212.167,-93.6393,0,0
2.4,1,4.02215,0.00299636,212.176,-93.6489,0,0
2.4,2,4.02215,0.00340988,212.341,-93.8137,29.4112,0
2.4,3,12.3489,0.00929166,212.202,-102.008,0,0
2.4,4,8.00331,0.00612753,212.231,-97.6878,5.67044,0
2.5,0,15.2115,0.0113043,212.167,-104.837,14.0181,0
2.5,1,15.4099,0.0114798,212.176,-105.045,0,0
2.5,2,4.02215,0.00340988,212.341,-93.8137,29.4112,0
2.5,3,7.7015,0.00579483,212.202,-97.3569,0,0
2.5,4,4.02215,0.00307945,212.231,-93.7036,5.67044,0
2.6,0,9.62353,0.00715165,212.167,-99.2448,15.1877,0
2.6,1,4.02215,0.00299636,212.176,-93.6489,0,0
2.6,2,4.02215,0.00340988,212.341,-93.8137,35.1973,0
2.6,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.6,4,4.02215,0.00307945,212.231,-93.7036,5.67044,0
2.7,0,4.02215,0.00298903,212.167,-93.6393,7.76822,0
2.7,1,4.02215,0.00299636,212.176,-93.6489,0,0
2.7,2,4.02215,0.00340988,212.341,-93.8137,35.1973,0
2.7,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.7,4,4.02215,0.00307945,212.231,-93.7036,5.67044,0
2.8,0,4.02215,0.00298903,212.167,-93.6393,19.9065,0
2.8,1,10.088,0.00751522,212.176,-99.7193,0,0
2.8,2,4.02215,0.00340988,212.341,-93.8137,35.1973,0
2.8,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.8,4,4.60788,0.00352791,212.231,-94.2898,5.67044,0
2.9,0,4.02215,0.00298903,212.167,-93.6393,19.9065,0
2.9,1,7.6503,0.00569921,212.176,-97.2798,0,0
2.9,2,10.7588,0.00912103,212.341,-100.556,35.1973,0
2.9,3,4.02215,0.00302638,212.202,-93.6748,0,0
2.9,4,4.02215,0.00307945,212.231,-93.7036,0,0
3,0,4.02215,0.00298903,212.167,-93.6393,32.147,0
3,1,4.02215,0.00299636,212.176,-93.6489,0,0
3,2,5.26268,0.00446158,212.341,-95.0553,29.6084,0
3,3,18.1842,0.0136823,212.202,-107.847,0,0
3,4,4.02215,0.00307945,212.231,-93.7036,12.5279,0
3.1,0,6.73349,0.00500394,212.167,-96.3526,32.147,0
3.1,1,18.6965,0.0139283,212.176,-108.334,0,0
3.1,2,4.02215,0.00340988,212.341,-93.8137,29.6084,0
3.1,3,4.02215,0.00302638,212.202,-93.6748,0,0
3.1,4,17.1633,0.0131407,212.231,-106.855,10.3864,0
3.2,0,13.731,0.0102041,212.167,-103.355,32.147,0
3.2,1,4.02215,0.00299636,212.176,-93.6489,0,0
3.2,2,18.4152,0.015612,212.341,-108.219,29.6084,0
3.2,3,9.1029,0.00684928,212.202,-98.7594,9.37176,0
3.2,4,4.02215,0.00307945,212.231,-93.7036,10.3864,0
3.3,0,4.02215,0.00298903,212.167,-93.6393,32.147,0
3.3,1,4.02215,0.00299636,212.176,-93.6489,0,0
3.3,2,4.02215,0.00340988,212.341,-93.8137,29.6084,0
3.3,3,10.9699,0.0082541,212.202,-100.628,1.61914,0
3.3,4,18.8108,0.014402,212.231,-108.504,10.3864,0
3.4,0,4.02215,0.00298903,212.167,-93.6393,32.147,0
3.4,1,10.575,0.00787802,212.176,-100.207,0,0
3.4,2,11.5103,0.00975814,212.341,-101.308,29.6084,0
3.4,3,15.3609,0.011558,212.202,-105.022,0,0
3.4,4,4.78353,0.00366239,212.231,-94.4656,10.3864,0
3.5,0,9.45984,0.00703001,212.167,-99.081,32.147,0
3.5,1,4.02215,0.00299636,212.176,-93.6489,0,0
3.5,2,4.02215,0.00340988,212.341,-93.8137,36.8387,0
3.5,3,4.02215,0.00302638,212.202,-93.6748,0,0
3.5,4,4.02215,0.00307945,212.231,-93.7036,10.3864,0
3.6,0,10.301,0.0076551,212.167,-99.9228,32.147,0
3.6,1,4.02215,0.00299636,212.176,-93.6489,0,0
3.6,2,4.02215,0.00340988,212.341,-93.8137,44.7892,0
3.6,3,18.4349,0.013871,212.202,-108.098,0,0
3.6,4,16.186,0.0123924,212.231,-105.877,10.3864,0
3.7,0,4.02215,0.00298903,212.167,-93.6393,32.147,0
3.7,1,16.4319,0.0122412,212.176,-106.068,0,0
3.7,2,12.3565,0.0104755,212.341,-102.155,44.7892,0
3.7,3,4.02215,0.00302638,212.202,-93.6748,0,0
3.7,4,15.1552,0.0116032,212.231,-104.845,10.3864,0
3.8,0,4.02215,0.00298903,212.167,-93.6393,35.9489,0
3.8,1,4.02215,0.00299636,212.176,-93.6489,0,0
3.8,2,15.8933,0.013474,212.341,-105.695,44.7892,0
3.8,3,4.02215,0.00302638,212.202,-93.6748,0,0
3.8,4,13.1131,0.0100397,212.231,-102.802,14.1404,0
3.9,0,12.6214,0.0093795,212.167,-102.245,26.3592,0
3.9,1,4.02215,0.00299636,212.176,-93.6489,14.9063,0
3.9,2,4.02215,0.00340988,212.341,-93.8137,44.7892,0
3.9,3,4.02215,0.00302638,212.202,-93.6748,0,0
3.9,4,4.02215,0.00307945,212.231,-93.7036,14.1404,0
4,0,4.02215,0.00298903,212.167,-93.6393,15.1021,0
4,1,4.02215,0.00299636,212.176,-93.6489,1.62476,0
4,2,9.36446,0.00793897,212.341,-99.1605,44.7892,0
4,3,15.7826,0.0118753,212.202,-105.444,0,0
4,4,10.4387,0.00799209,212.231,-100.125,14.1404,0
4.1,0,4.02215,0.00298903,212.167,-93.6393,20.486,0
4.1,1,17.0147,0.0126753,212.176,-106.651,8.01043,0
4.1,2,4.02215,0.00340988,212.341,-93.8137,44.7892,0
4.1,3,20.1097,0.0151311,212.202,-109.775,0,0
4.1,4,17.3632,0.0132937,212.231,-107.055,26.2533,0
4.2,0,4.02215,0.00298903,212.167,-93.6393,20.486,0
4.2,1,4.02215,0.00299636,212.176,-93.6489,8.01043,0
