simTime,MCCIndex,specWeatherModel,cloudCover
2.30001,1,5.36815,1
2.3,2,0,0
2.30001,2,0,0
2.3,3,14.4956,1
2.30001,3,8.31621,1
2.3,4,14.6821,1
2.30001,4,14.6821,1
2.4,0,17.0747,1
2.40001,0,0,0
2.4,1,5.36815,1
2.40001,1,5.36815,1
2.4,2,0,0
2.40001,2,0,0
2.4,3,8.31621,1
2.40001,3,0,0
2.4,4,14.6821,1
2.40001,4,14.6821,1
2.5,0,0,0
2.50001,0,0,0
2.5,1,5.36815,1
2.50001,1,19.3286,1
2.5,2,0,0
2.50001,2,0.286172,0
2.5,3,0,0
2.50001,3,0,0
2.5,4,14.6821,1
2.50001,4,23.9146,1
2.6,0,0,0
2.60001,0,0,0
2.6,1,19.3286,1
2.60001,1,19.3286,1
2.6,2,0.286172,0
2.60001,2,0,0
2.6,3,0,0
2.60001,3,0,0
2.6,4,23.9146,1
2.60001,4,23.9146,1
2.7,0,0,0
2.70001,0,10.7891,1
2.7,1,19.3286,1
2.70001,1,19.3286,1
2.7,2,0,0
2.70001,2,1.45051,0
2.7,3,0,0
2.70001,3,0,0
2.7,4,23.9146,1
2.70001,4,23.9146,1
2.8,0,10.7891,1
2.80001,0,10.7891,1
2.8,1,19.3286,1
2.80001,1,19.3286,1
2.8,2,1.45051,0
2.80001,2,0.769793,0
2.8,3,0,0
2.80001,3,0,0
2.8,4,23.9146,1
2.80001,4,15.394,1
2.9,0,10.7891,1
2.90001,0,10.7891,1
2.9,1,19.3286,1
2.90001,1,19.3286,1
2.9,2,0.769793,0
2.90001,2,0,0
2.9,3,0,0
2.90001,3,0,0
2.9,4,15.394,1
2.90001,4,24.6268,1
3,0,10.7891,1
3.00001,0,10.7891,1
3,1,19.3286,1
3.00001,1,19.3286,1
3,2,0,0
3.00001,2,0,0
3,3,0,0
3.00001,3,0,0
3,4,24.6268,1
3.00001,4,24.6268,1
3.1,0,10.7891,1
3.10001,0,19.0504,1
3.1,1,19.3286,1
3.10001,1,26.4466,2
3.1,2,0,0
3.10001,2,0,0
3.1,3,0,0
3.10001,3,0,0
3.1,4,24.6268,1
3.10001,4,26.7635,2
3.2,0,19.0504,1
3.20001,0,32.5642,2
3.2,1,26.4466,2
3.20001,1,27.1897,2
3.2,2,0,0
3.20001,2,8.54406,1
3.2,3,0,0
3.20001,3,0,0
3.2,4,26.7635,2
3.20001,4,26.7635,2
3.3,0,32.5642,2
3.30001,0,17.9919,1
3.3,1,27.1897,2
3.30001,1,14.5896,1
3.3,2,8.54406,1
3.30001,2,8.54406,1
3.3,3,0,0
3.30001,3,2.93193,0
3.3,4,26.7635,2
3.30001,4,20.4894,1
3.4,0,17.9919,1
3.40001,0,17.9919,1
3.4,1,14.5896,1
3.40001,1,14.5896,1
3.4,2,8.54406,1
3.40001,2,8.54406,1
3.4,3,2.93193,0
3.40001,3,2.93193,0
3.4,4,20.4894,1
3.40001,4,20.4894,1
3.5,0,17.9919,1
3.50001,0,17.9919,1
3.5,1,14.5896,1
3.50001,1,6.22338,1
3.5,2,8.54406,1
3.50001,2,8.54406,1
3.5,3,2.93193,0
3.50001,3,2.93193,0
3.5,4,20.4894,1
3.50001,4,20.4894,1
3.6,0,17.9919,1
3.60001,0,21.8687,1
3.6,1,6.22338,1
3.60001,1,6.22338,1
3.6,2,8.54406,1
3.60001,2,8.54406,1
3.6,3,2.93193,0
3.60001,3,2.93193,0
3.6,4,20.4894,1
3.60001,4,20.4894,1
3.7,0,21.8687,1
3.70001,0,21.8687,1
3.7,1,6.22338,1
3.70001,1,6.22338,1
3.7,2,8.54406,1
3.70001,2,0,0
3.7,3,2.93193,0
3.70001,3,2.93193,0
3.7,4,20.4894,1
3.70001,4,20.4894,1
3.8,0,21.8687,1
3.80001,0,21.8687,1
3.8,1,6.22338,1
3.80001,1,6.22338,1
3.8,2,0,0
3.80001,2,0,0
3.8,3,2.93193,0
3.80001,3,1.30171,0
3.8,4,20.4894,1
3.80001,4,33.196,2
3.9,0,21.8687,1
3.90001,0,23.8449,1
3.9,1,6.22338,1
3.90001,1,6.22338,1
3.9,2,0,0
3.90001,2,0,0
3.9,3,1.30171,0
3.90001,3,0,0
3.9,4,33.196,2
3.90001,4,33.196,2
4,0,23.8449,1
4.00001,0,36.4599,2
4,1,6.22338,1
4.00001,1,6.22338,1
4,2,0,0
4.00001,2,0,0
4,3,0,0
4.00001,3,0,0
4,4,33.196,2
4.00001,4,33.196,2
4.1,0,36.4599,2
4.10001,0,43.9883,2
4.1,1,6.22338,1
4.10001,1,12.3298,1
4.1,2,0,0
4.10001,2,0,0
4.1,3,0,0
4.10001,3,5.01852,1
4.1,4,33.196,2
4.10001,4,33.196,2
4.2,0,43.9883,2
4.20001,0,43.9883,2
4.2,1,12.3298,1
4.20001,1,12.3298,1
4.2,2,0,0
4.20001,2,0,0
4.2,3,5.01852,1
4.20001,3,19.1523,1
4.2,4,33.196,2
4.20001,4,20.1184,1
4.3,0,43.9883,2
4.30001,0,43.9883,2
4.3,1,12.3298,1
4.30001,1,12.3298,1
4.3,2,0,0
4.30001,2,0,0
4.3,3,19.1523,1
4.30001,3,19.1523,1
4.3,4,20.1184,1
4.30001,4,20.1184,1
4.4,0,43.9883,2
4.40001,0,43.9883,2
4.4,1,12.3298,1
4.40001,1,0,0
4.4,2,0,0
4.40001,2,0,0
4.4,3,19.1523,1
4.40001,3,19.1523,1
4.4,4,20.1184,1
4.40001,4,20.1184,1
4.5,0,43.9883,2
4.50001,0,43.9883,2
4.5,1,0,0
4.50001,1,7.65525,1
4.5,2,0,0
4.50001,2,0,0
4.5,3,19.1523,1
4.50001,3,20.8731,1
4.5,4,20.1184,1
4.50001,4,28.7153,2
4.6,0,43.9883,2
4.60001,0,43.9883,2
4.6,1,7.65525,1
4.60001,1,0,0
4.6,2,0,0
4.60001,2,0,0
4.6,3,20.8731,1
4.60001,3,20.8731,1
4.6,4,28.7153,2
4.60001,4,28.7153,2
4.7,0,43.9883,2
4.70001,0,55.8014,2
4.7,1,0,0
4.70001,1,7.16599,1
4.7,2,0,0
4.70001,2,0,0
4.7,3,20.8731,1
4.70001,3,20.8731,1
4.7,4,28.7153,2
4.70001,4,39.3887,2
4.8,0,55.8014,2
4.80001,0,55.8014,2
4.8,1,7.16599,1
4.80001,1,16.4263,1
4.8,2,0,0
4.80001,2,0,0
4.8,3,20.8731,1
4.80001,3,9.3639,1
4.8,4,39.3887,2
4.80001,4,43.4176,2
4.9,0,55.8014,2
4.90001,0,55.8014,2
4.9,1,16.4263,1
4.90001,1,16.4263,1
4.9,2,0,0
4.90001,2,0,0
4.9,3,9.3639,1
4.90001,3,9.3639,1
4.9,4,43.4176,2
4.90001,4,43.4176,2
5,0,55.8014,2
5.00001,0,53.2111,2
5,1,16.4263,1
5.00001,1,16.4263,1
5,2,0,0
5.00001,2,0,0
5,3,9.3639,1
5.00001,3,9.3639,1
5,4,43.4176,2
5.00001,4,43.4176,2
5.1,0,53.2111,2
5.10001,0,53.2111,2
5.1,1,16.4263,1
5.10001,1,16.4263,1
5.1,2,0,0
5.10001,2,0,0
5.1,3,9.3639,1
5.10001,3,9.3639,1
5.1,4,43.4176,2
5.10001,4,43.4176,2
5.2,0,53.2111,2
5.20001,0,48.2405,2
5.2,1,16.4263,1
5.20001,1,16.4263,1
5.2,2,0,0
5.20001,2,7.95427,1
5.2,3,9.3639,1
5.20001,3,0,0
5.2,4,43.4176,2
5.20001,4,57.2942,2
5.3,0,48.2405,2
5.30001,0,48.2405,2
5.3,1,16.4263,1
5.30001,1,16.4263,1
5.3,2,7.95427,1
5.30001,2,0,0
5.3,3,0,0
5.30001,3,0,0
5.3,4,57.2942,2
5.30001,4,57.2942,2
5.4,0,48.2405,2
5.40001,0,34.4324,2
5.4,1,16.4263,1
5.40001,1,0,0
5.4,2,0,0
5.40001,2,2.40224,0
5.4,3,0,0
5.40001,3,3.13554,1
5.4,4,57.2942,2
5.40001,4,54.5201,2
5.5,0,34.4324,2
5.50001,0,34.4324,2
5.5,1,0,0
5.50001,1,2.02453,0
5.5,2,2.40224,0
5.50001,2,2.40224,0
5.5,3,3.13554,1
5.50001,3,0,0
5.5,4,54.5201,2
5.50001,4,54.5201,2
5.6,0,34.4324,2
5.60001,0,34.4324,2
5.6,1,2.02453,0
5.60001,1,2.02453,0
5.6,2,2.40224,0
5.60001,2,13.4619,1
5.6,3,0,0
5.60001,3,0,0
5.6,4,54.5201,2
5.60001,4,54.5201,2
5.7,0,34.4324,2
5.70001,0,17.2014,1
5.7,1,2.02453,0
5.70001,1,0,0
5.7,2,13.4619,1
5.70001,2,17.0652,1
5.7,3,0,0
5.70001,3,3.04534,1
5.7,4,54.5201,2
5.70001,4,48.1267,2
5.8,0,17.2014,1
5.80001,0,17.2014,1
5.8,1,0,0
5.80001,1,0,0
5.8,2,17.0652,1
5.80001,2,17.0652,1
5.8,3,3.04534,1
5.80001,3,3.04534,1
5.8,4,48.1267,2
5.80001,4,48.1267,2
5.9,0,17.2014,1
5.90001,0,17.2014,1
5.9,1,0,0
5.90001,1,0,0
5.9,2,17.0652,1
5.90001,2,17.0652,1
5.9,3,3.04534,1
5.90001,3,3.04534,1
5.9,4,48.1267,2
5.90001,4,48.1267,2
6,0,17.2014,1
6.00001,0,17.2014,1
6,1,0,0
6.00001,1,0,0
6,2,17.0652,1
6.00001,2,15.8269,1
6,3,3.04534,1
6.00001,3,3.04534,1
6,4,48.1267,2
6.00001,4,48.1267,2
6.1,0,17.2014,1
6.10001,0,15.5223,1
6.1,1,0,0
6.10001,1,0,0
6.1,2,15.8269,1
6.10001,2,15.8269,1
6.1,3,3.04534,1
6.10001,3,3.04534,1
6.1,4,48.1267,2
6.10001,4,55.9668,2
6.2,0,15.5223,1
6.20001,0,15.5223,1
6.2,1,0,0
6.20001,1,0,0
6.2,2,15.8269,1
6.20001,2,15.8269,1
6.2,3,3.04534,1
6.20001,3,3.04534,1
