simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
1.7,3,0.862261,0.00302638,212.202,-90.5149,6.81957,0
1.7,4,0.862261,0.00307945,212.231,-90.5437,12.5393,0
1.8,0,0.862261,0.00298903,212.167,-90.4794,0,0
1.8,1,0.862261,0.00299636,212.176,-90.489,7.16492,0
1.8,2,3.86371,0.0152794,212.341,-93.6671,22.2899,0
1.8,3,0.862261,0.00302638,212.202,-90.5149,6.81957,0
1.8,4,0.862261,0.00307945,212.231,-90.5437,12.5393,0
1.9,0,4.21106,0.0145976,212.167,-93.8398,0,0
1.9,1,0.862261,0.00299636,212.176,-90.489,7.16492,0
1.9,2,0.862261,0.00340988,212.341,-90.6538,16.5095,0
1.9,3,0.862261,0.00302638,212.202,-90.5149,6.81957,0
1.9,4,1.07723,0.00384719,212.231,-90.7595,12.5393,0
2,0,1.16456,0.00403695,212.167,-90.7827,0,0
2,1,0.862261,0.00299636,212.176,-90.489,7.16492,0
2,2,3.34819,0.0132407,212.341,-93.1495,16.5095,0
2,3,0.862261,0.00302638,212.202,-90.5149,2.42608,0
2,4,2.68081,0.00957418,212.231,-92.3688,0.804216,0
2.1,0,0.862261,0.00298903,212.167,-90.4794,0,0
2.1,1,0.862261,0.00299636,212.176,-90.489,0,0
2.1,2,0.877929,0.00347184,212.341,-90.6695,24.5186,0
2.1,3,2.65889,0.0093322,212.202,-92.3179,2.42608,0
2.1,4,0.862261,0.00307945,212.231,-90.5437,0.804216,0
2.2,0,0.862261,0.00298903,212.167,-90.4794,0,0
2.2,1,1.67624,0.00582492,212.176,-91.3058,0,0
2.2,2,3.9691,0.0156962,212.341,-93.7729,24.5186,0
2.2,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.2,4,3.24445,0.0115871,212.231,-92.9344,0,0
2.3,0,2.40006,0.00831982,212.167,-92.0225,0,0
2.3,1,2.28917,0.00795488,212.176,-91.9209,0,0
2.3,2,0.862261,0.00340988,212.341,-90.6538,24.5186,0
2.3,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.3,4,0.862261,0.00307945,212.231,-90.5437,0,0
2.4,0,0.862261,0.00298903,212.167,-90.4794,0,0
2.4,1,0.862261,0.00299636,212.176,-90.489,0,0
2.4,2,0.862261,0.00340988,212.341,-90.6538,29.4112,0
2.4,3,2.64734,0.00929166,212.202,-92.3063,0,0
2.4,4,1.71574,0.00612753,212.231,-91.4003,5.67044,0
2.5,0,3.26101,0.0113043,212.167,-92.8865,14.0181,0
2.5,1,3.30354,0.0114798,212.176,-92.9388,0,0
2.5,2,0.862261,0.00340988,212.341,-90.6538,29.4112,0
2.5,3,1.65104,0.00579483,212.202,-91.3065,0,0
2.5,4,0.862261,0.00307945,212.231,-90.5437,5.67044,0
2.6,0,2.06308,0.00715165,212.167,-91.6844,15.1877,0
2.6,1,0.862261,0.00299636,212.176,-90.489,0,0
2.6,2,0.862261,0.00340988,212.341,-90.6538,35.1973,0
2.6,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.6,4,0.862261,0.00307945,212.231,-90.5437,5.67044,0
2.7,0,0.862261,0.00298903,212.167,-90.4794,7.76822,0
2.7,1,0.862261,0.00299636,212.176,-90.489,0,0
2.7,2,0.862261,0.00340988,212.341,-90.6538,35.1973,0
2.7,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.7,4,0.862261,0.00307945,212.231,-90.5437,5.67044,0
2.8,0,0.862261,0.00298903,212.167,-90.4794,19.9065,0
2.8,1,2.16265,0.00751522,212.176,-91.7939,0,0
2.8,2,0.862261,0.00340988,212.341,-90.6538,35.1973,0
2.8,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.8,4,0.98783,0.00352791,212.231,-90.6697,5.67044,0
2.9,0,0.862261,0.00298903,212.167,-90.4794,19.9065,0
2.9,1,1.64006,0.00569921,212.176,-91.2695,0,0
2.9,2,2.30645,0.00912103,212.341,-92.1037,35.1973,0
2.9,3,0.862261,0.00302638,212.202,-90.5149,0,0
2.9,4,0.862261,0.00307945,212.231,-90.5437,0,0
3,0,0.862261,0.00298903,212.167,-90.4794,32.147,0
3,1,0.862261,0.00299636,212.176,-90.489,0,0
3,2,1.1282,0.00446158,212.341,-90.9208,29.6084,0
3,3,3.89829,0.0136823,212.202,-93.5616,0,0
3,4,0.862261,0.00307945,212.231,-90.5437,12.5279,0
3.1,0,1.44351,0.00500394,212.167,-91.0627,32.147,0
3.1,1,4.00813,0.0139283,212.176,-93.6458,0,0
3.1,2,0.862261,0.00340988,212.341,-90.6538,29.6084,0
3.1,3,0.862261,0.00302638,212.202,-90.5149,0,0
3.1,4,3.67944,0.0131407,212.231,-93.371,10.3864,0
3.2,0,2.94364,0.0102041,212.167,-92.568,32.147,0
3.2,1,0.862261,0.00299636,212.176,-90.489,0,0
3.2,2,3.94782,0.015612,212.341,-93.7515,29.6084,0
3.2,3,1.95146,0.00684928,212.202,-91.6079,9.37176,0
3.2,4,0.862261,0.00307945,212.231,-90.5437,10.3864,0
3.3,0,0.862261,0.00298903,212.167,-90.4794,32.147,0
3.3,1,0.862261,0.00299636,212.176,-90.489,0,0
3.3,2,0.862261,0.00340988,212.341,-90.6538,29.6084,0
3.3,3,2.35172,0.0082541,212.202,-92.0096,1.61914,0
3.3,4,4.03262,0.014402,212.231,-93.7254,10.3864,0
3.4,0,0.862261,0.00298903,212.167,-90.4794,32.147,0
3.4,1,2.26706,0.00787802,212.176,-91.8987,0,0
3.4,2,2.46755,0.00975814,212.341,-92.2654,29.6084,0
3.4,3,3.29305,0.011558,212.202,-92.9542,0,0
3.4,4,1.02549,0.00366239,212.231,-90.7075,10.3864,0
3.5,0,2.02799,0.00703001,212.167,-91.6492,32.147,0
3.5,1,0.862261,0.00299636,212.176,-90.489,0,0
3.5,2,0.862261,0.00340988,212.341,-90.6538,36.8387,0
3.5,3,0.862261,0.00302638,212.202,-90.5149,0,0
3.5,4,0.862261,0.00307945,212.231,-90.5437,10.3864,0
3.6,0,2.20831,0.0076551,212.167,-91.8301,32.147,0
3.6,1,0.862261,0.00299636,212.176,-90.489,0,0
3.6,2,0.862261,0.00340988,212.341,-90.6538,44.7892,0
3.6,3,3.95205,0.013871,212.202,-93.6156,0,0
3.6,4,3.46993,0.0123924,212.231,-93.1607,10.3864,0
3.7,0,0.862261,0.00298903,212.167,-90.4794,32.147,0
3.7,1,3.52264,0.0122412,212.176,-93.1587,0,0
3.7,2,2.64896,0.0104755,212.341,-92.4475,44.7892,0
3.7,3,0.862261,0.00302638,212.202,-90.5149,0,0
3.7,4,3.24894,0.0116032,212.231,-92.9389,10.3864,0
3.8,0,0.862261,0.00298903,212.167,-90.4794,35.9489,0
3.8,1,0.862261,0.00299636,212.176,-90.489,0,0
3.8,2,3.40719,0.013474,212.341,-93.2088,44.7892,0
3.8,3,0.862261,0.00302638,212.202,-90.5149,0,0
3.8,4,2.81117,0.0100397,212.231,-92.4996,14.1404,0
3.9,0,2.70576,0.0093795,212.167,-92.3293,26.3592,0
3.9,1,0.862261,0.00299636,212.176,-90.489,14.9063,0
3.9,2,0.862261,0.00340988,212.341,-90.6538,44.7892,0
3.9,3,0.862261,0.00302638,212.202,-90.5149,0,0
3.9,4,0.862261,0.00307945,212.231,-90.5437,14.1404,0
4,0,0.862261,0.00298903,212.167,-90.4794,15.1021,0
4,1,0.862261,0.00299636,212.176,-90.489,1.62476,0
4,2,2.00754,0.00793897,212.341,-91.8036,44.7892,0
4,3,3.38345,0.0118753,212.202,-93.045,0,0
4,4,2.23782,0.00799209,212.231,-91.9242,14.1404,0
4.1,0,0.862261,0.00298903,212.167,-90.4794,20.486,0
4.1,1,3.64757,0.0126753,212.176,-93.284,8.01043,0
4.1,2,0.862261,0.00340988,212.341,-90.6538,44.7892,0
4.1,3,4.31109,0.0151311,212.202,-93.9759,0,0
4.1,4,3.72228,0.0132937,212.231,-93.414,26.2533,0
4.2,0,0.862261,0.00298903,212.167,-90.4794,20.486,0
4.2,1,0.862261,0.00299636,212.176,-90.489,8.01043,0
4.2,2,0.862261,0.00340988,212.341,-90.6538,44.7892,0
4.2,3,0.862261,0.00302638,212.202,-90.5149,0,0
4.2,4,2.26769,0.00809877,212.231,-91.9542,22.5455,0
4.3,0,0.862261,0.00298903,212.167,-90.4794,20.486,0
4.3,1,0.862261,0.00299636,212.176,-90.489,8.01043,0
4.3,2,0.862261,0.00340988,212.341,-90.6538,44.7892,0
4.3,3,3.42953,0.012037,212.202,-93.0912,0,0
4.3,4,0.862261,0.00307945,212.231,-90.5437,22.5455,0
4.4,0,0.862261,0.00298903,212.167,-90.4794,10.5657,0
4.4,1,0.862261,0.00299636,212.176,-90.489,8.01043,0
