simTime,MCC_idx,packet_is_loss
0.10003048,4,1
0.10004048,1,1
0.20003048,3,1
0.20004048,1,1
0.20005048,2,1
0.20006048,1,1
0.30003048,4,1
0.30004048,0,1
0.30005048,1,1
0.40003048,4,1
0.40004048,3,1
0.40005048,0,1
0.50003048,4,1
0.50004048,0,1
0.50005048,1,1
0.60003048,3,1
0.60004048,2,1
0.70003048,3,1
0.70004048,4,1
0.80003048,1,1
0.90003048,2,1
1.30003048,2,1
1.70003048,3,1
1.80003048,2,1
1.90003048,4,1
2.00003048,4,1
2.10003048,2,1
2.20003048,1,1
2.20004048,2,1
2.20005048,1,1
2.30003048,4,1
2.30004048,0,1
2.40003048,3,1
2.40004048,4,1
2.50003048,2,1
2.60003048,2,1
2.70003048,3,1
2.70004048,4,1
2.80003048,3,1
2.80004048,0,1
2.80005048,1,1
2.90003048,4,1
2.90004048,2,1
3.00003048,0,1
3.00004048,1,1
3.10003048,0,1
3.10004048,1,1
3.20003048,4,1
3.30003048,4,1
3.40003048,3,1
3.40004048,2,1
3.50003048,2,1
3.50004048,1,1
3.60003048,3,1
3.60004048,4,1
3.70003048,4,1
3.70004048,2,1
3.80003048,1,1
3.90003048,0,1
4.00003048,0,1
4.10003048,2,1
4.20003048,1,1
4.30003048,2,1
4.40003048,4,1
4.50003048,0,1
4.60003048,4,1
4.70003048,3,1
4.70004048,4,1
4.80003048,3,1
4.80004048,0,1
4.90003048,0,1
4.90004048,1,1
5.00003048,4,1
5.00004048,1,1
5.10003048,2,1
5.10004048,1,1
5.20003048,4,1
5.20004048,1,1
5.30003048,0,1
5.30004048,2,1
5.40003048,0,1
5.40004048,4,1
5.50003048,0,1
5.60003048,3,1
5.60004048,1,1
5.70003048,3,1
5.70004048,4,1
5.80003048,3,1
5.80004048,1,1
5.90003048,2,1
6.00003048,2,1
6.10003048,3,1
6.20003048,3,1
6.30003048,0,1
6.40003048,0,1
6.50003048,3,1
6.60003048,3,1
6.70003048,3,1
6.90003048,0,1
7.00003048,0,1
7.10003048,2,1
7.20003048,2,1
7.30003048,1,1
7.40003048,0,1
7.50003048,4,1
7.50004048,0,1
7.60003048,0,1
7.60004048,1,1
7.70003048,4,1
7.80003048,2,1
7.80004048,1,1
7.90003048,1,1
8.00003048,1,1
8.10003048,4,1
8.20003048,0,1
8.30003048,0,1
8.40003048,0,1
8.50003048,0,1
8.60003048,4,1
8.70003048,4,1
8.80003048,4,1
8.90003048,2,1
9.00003048,3,1
9.30003048,4,1
9.40003048,0,1
9.50003048,0,1
9.50004048,2,1
9.60003048,4,1
9.70003048,4,1
9.80003048,4,1
9.90003048,2,1
10.10003048,2,1
10.80003048,3,1
10.90003048,2,1
11.10003048,2,1
11.20003048,2,1
11.20004048,1,1
11.30003048,3,1
11.30004048,2,1
11.30005048,1,1
11.40003048,2,1
11.40005048,1,1
11.50003048,2,1
11.50005048,1,1
11.60003048,4,1
11.60004048,0,1
11.60005048,3,1
11.70003048,3,1
11.70004048,0,1
11.80003048,4,1
11.80004048,0,1
11.80005048,3,1
11.90003048,3,1
11.90004048,1,1
11.90005048,3,1
12.00003048,0,1
12.00004048,2,1
12.00005048,1,1
12.10003048,4,1
12.10004048,2,1
12.20003048,4,1
12.20004048,3,1
12.30003048,1,1
12.30004048,2,1
12.40003048,2,1
12.70003048,1,1
12.80003048,3,1
12.90003048,1,1
13.00003048,0,1
13.00004048,2,1
13.10003048,4,1
13.20003048,3,1
13.20004048,1,1
13.30003048,2,1
13.30004048,0,1
13.40003048,2,1
13.40004048,0,1
13.50003048,4,1
13.50004048,2,1
13.60003048,3,1
13.60004048,0,1
13.60005048,2,1
13.70003048,4,1
13.70004048,1,1
13.80003048,0,1
13.80004048,1,1
13.80005048,0,1
13.90003048,2,1
13.90004048,1,1
13.90005048,3,1
14.00003048,0,1
14.00004048,4,1
14.00005048,0,1
14.10003048,3,1
14.20003048,2,1
14.20004048,1,1
14.30003048,3,1
14.30004048,4,1
14.40003048,0,1
14.50003048,0,1
14.50004048,4,1
14.60003048,4,1
14.60004048,0,1
14.70003048,2,1
14.80003048,4,1
14.90003048,0,1
15.00003048,3,1
15.10003048,4,1
16.00003048,1,1
16.10003048,2,1
16.10004048,4,1
