simTime,atmosphericLoss_dB,fspl_dB,power_dBm
1.7,8.77411,206.518,-92.7398
1.7,8.81713,206.556,-92.8204
1.70002024,6.09984,205.139,-139.688
1.70003024,6.06491,205.117,-139.693
1.70004024,6.17004,205.337,-140.233
1.70005024,6.20531,205.21,-140.055
1.70006024,6.17004,205.208,-140.098
1.8,8.64574,206.456,-92.5492
1.8,8.68841,206.475,-92.6104
1.8,8.7312,206.648,-92.8264
1.8,8.77411,206.518,-92.7398
1.8,8.81713,206.556,-92.8204
1.80002024,6.09984,205.139,-139.688
1.80003024,6.17004,205.182,-139.863
1.80004024,6.09984,205.294,-140.12
1.80005024,6.20531,205.21,-140.055
1.80006024,6.17004,205.208,-140.098
1.9,8.64574,206.456,-92.5492
1.9,8.68841,206.475,-92.6104
1.9,8.7312,206.648,-92.8264
1.9,8.77411,206.518,-92.7398
1.9,8.81713,206.556,-92.8204
1.90002024,6.17004,205.182,-139.801
1.90003024,6.20531,205.204,-139.919
1.90004024,6.09984,205.294,-140.12
1.90005024,6.20531,205.21,-140.055
1.90006024,6.13488,205.186,-140.042
2,8.64574,206.456,-92.5492
2,8.68841,206.475,-92.6104
2,8.7312,206.648,-92.8264
2,8.77411,206.518,-92.7398
2,8.81713,206.556,-92.8204
2.00002024,6.20531,205.204,-139.858
2.00003024,6.17004,205.182,-139.863
2.00004024,6.20531,205.358,-140.29
2.00005024,6.13488,205.167,-139.942
2.00006024,6.06491,205.143,-139.928
2.1,8.64574,206.456,-92.5492
2.1,8.68841,206.475,-92.6104
2.1,8.7312,206.648,-92.8264
2.1,8.77411,206.518,-92.7398
2.1,8.81713,206.556,-92.8204
2.10002024,6.09984,205.139,-139.688
2.10003024,6.17004,205.182,-139.863
2.10004024,6.20531,205.358,-140.29
2.10005024,6.20531,205.21,-140.055
2.10006024,6.13488,205.186,-140.042
2.2,8.64574,206.456,-92.5492
2.2,8.68841,206.475,-92.6104
2.2,8.7312,206.648,-92.8264
2.2,8.77411,206.518,-92.7398
2.2,8.81713,206.556,-92.8204
2.20002024,6.13488,205.161,-139.745
2.20003024,6.17004,205.182,-139.863
2.20004024,6.17004,205.337,-140.233
2.20005024,6.20531,205.21,-140.055
2.20006024,6.13488,205.186,-140.042
2.3,8.64574,206.456,-92.5492
2.3,8.68841,206.475,-92.6104
2.3,8.7312,206.648,-92.8264
2.3,8.77411,206.518,-92.7398
2.3,8.81713,206.556,-92.8204
2.30002024,6.20531,205.204,-139.858
2.30003024,6.06491,205.117,-139.693
2.30004024,6.06491,205.272,-140.063
2.30005024,6.06491,205.124,-139.828
2.30006024,6.09984,205.165,-139.985
2.4,8.64574,206.456,-92.5492
2.4,8.68841,206.475,-92.6104
2.4,8.7312,206.648,-92.8264
2.4,8.77411,206.518,-92.7398
2.4,8.81713,206.556,-92.8204
2.40002024,6.20531,205.204,-139.858
2.40003024,6.13488,205.161,-139.806
2.40004024,6.20531,205.358,-140.29
2.40005024,6.20531,205.21,-140.055
2.40006024,6.17004,205.208,-140.098
2.5,8.64574,206.456,-92.5492
2.5,8.68841,206.475,-92.6104
2.5,8.7312,206.648,-92.8264
2.5,8.77411,206.518,-92.7398
2.5,8.81713,206.556,-92.8204
2.50002024,6.20531,205.204,-139.858
2.50003024,6.17004,205.182,-139.863
2.50004024,6.06491,205.272,-140.063
2.50005024,6.20531,205.21,-140.055
2.50006024,6.09984,205.165,-139.985
2.6,8.64574,206.456,-92.5492
2.6,8.68841,206.475,-92.6104
2.6,8.7312,206.648,-92.8264
2.6,8.77411,206.518,-92.7398
2.6,8.81713,206.556,-92.8204
2.60002024,6.17004,205.182,-139.801
2.60003024,6.13488,205.161,-139.806
2.60004024,6.06491,205.272,-140.063
2.60005024,6.09984,205.145,-139.885
2.60006024,6.13488,205.186,-140.042
2.7,8.64574,206.456,-92.5492
2.7,8.68841,206.475,-92.6104
