simTime,MCC_idx,packet_is_loss
0.10003048,2,1
0.10004048,4,1
0.10005048,0,1
0.10006048,1,1
0.10007048,0,1
0.20003048,1,1
0.20004048,3,1
0.20005048,0,1
0.20007048,0,1
0.30003048,3,1
0.30004048,4,1
0.30005048,3,1
0.30006048,4,1
0.30007048,2,1
0.40003048,2,1
0.40004048,0,1
0.40005048,1,1
0.40006048,2,1
0.40007048,1,1
0.50003048,2,1
0.50004048,3,1
0.50006048,2,1
0.50007048,3,1
0.60003048,4,1
0.60004048,1,1
0.60005048,0,1
0.60006048,2,1
0.70003048,0,1
0.70004048,3,1
0.80003048,1,1
0.80004048,0,1
0.90003048,2,1
1.00003048,3,1
1.00004048,1,1
1.10003048,1,1
1.10004048,2,1
1.20003048,1,1
1.20004048,2,1
1.30003048,1,1
1.40003048,4,1
1.40004048,1,1
1.50003048,3,1
1.60003048,3,1
1.80003048,1,1
2.00003048,4,1
2.10003048,1,1
2.20003048,1,1
2.30003048,3,1
2.40003048,1,1
2.50003048,1,1
2.50004048,0,1
2.60003048,4,1
2.60004048,0,1
2.70003048,2,1
2.70004048,0,1
2.80003048,3,1
2.80004048,1,1
2.80005048,0,1
2.90003048,2,1
2.90004048,4,1
2.90005048,0,1
2.90006048,2,1
3.00003048,2,1
3.00004048,0,1
3.00005048,2,1
3.00006048,0,1
3.10003048,4,1
3.10005048,0,1
3.20003048,3,1
3.20004048,4,1
3.20005048,2,1
3.30003048,1,1
3.30004048,2,1
3.30005048,3,1
3.30006048,0,1
3.40003048,4,1
3.40005048,4,1
3.40006048,1,1
3.50003048,3,1
3.50004048,4,1
3.50005048,1,1
3.60003048,2,1
3.60004048,4,1
3.60005048,3,1
3.70003048,4,1
3.70004048,0,1
3.80003048,2,1
3.80004048,4,1
3.80005048,0,1
3.80006048,1,1
3.90003048,2,1
3.90004048,1,1
4.00003048,3,1
4.00004048,4,1
4.10003048,1,1
4.10004048,2,1
4.10005048,3,1
4.20003048,4,1
4.20004048,1,1
4.30003048,2,1
4.30004048,0,1
4.40003048,0,1
4.50003048,3,1
4.50004048,4,1
4.60003048,4,1
4.80003048,3,1
4.90003048,2,1
5.00003048,2,1
5.30003048,4,1
5.40003048,2,1
5.50003048,3,1
5.60003048,2,1
5.70003048,4,1
5.80003048,3,1
5.80004048,1,1
5.90003048,2,1
5.90004048,3,1
5.90005048,0,1
6.00003048,4,1
6.00004048,0,1
6.00005048,1,1
6.10003048,4,1
6.10004048,3,1
6.10005048,0,1
6.20003048,0,1
6.20004048,3,1
6.30003048,1,1
6.30004048,0,1
6.40003048,0,1
6.40004048,1,1
6.50003048,4,1
6.50004048,3,1
6.60003048,1,1
6.60004048,0,1
6.70003048,3,1
6.70004048,0,1
6.80003048,3,1
6.80004048,0,1
6.90003048,4,1
6.90004048,2,1
7.00003048,2,1
7.10003048,1,1
7.20003048,4,1
7.20004048,2,1
7.30003048,1,1
7.30004048,3,1
7.40003048,1,1
7.40004048,4,1
7.40005048,3,1
7.40006048,1,1
7.50003048,3,1
7.50005048,1,1
7.60003048,1,1
7.60004048,0,1
7.70003048,4,1
7.70004048,2,1
7.80003048,4,1
7.80004048,2,1
7.90003048,0,1
7.90004048,2,1
8.00003048,4,1
8.00004048,1,1
8.10003048,0,1
8.10004048,1,1
8.20003048,4,1
8.20004048,0,1
8.30003048,3,1
8.30004048,0,1
8.40003048,1,1
8.50003048,0,1
8.60003048,3,1
8.70003048,0,1
8.80003048,4,1
8.80004048,0,1
8.90003048,0,1
8.90004048,2,1
9.00003048,0,1
9.10003048,4,1
9.20003048,2,1
9.30003048,4,1
11.70003048,3,1
11.80003048,3,1
11.80004048,1,1
11.90003048,2,1
12.00003048,3,1
12.10003048,2,1
12.20003048,2,1
12.30003048,4,1
12.40003048,4,1
12.50003048,2,1
12.60003048,1,1
12.70003048,2,1
12.80003048,3,1
12.90003048,2,1
13.00003048,3,1
13.00004048,0,1
13.10003048,1,1
13.20003048,2,1
13.20004048,1,1
13.30003048,4,1
13.40003048,3,1
13.50003048,3,1
13.60003048,2,1
14.10003048,3,1
14.20003048,3,1
14.30003048,1,1
14.40003048,2,1
14.50003048,2,1
14.60003048,4,1
14.70003048,4,1
14.80003048,2,1
14.90003048,4,1
15.00003048,1,1
15.10003048,2,1
15.20003048,4,1
15.30003048,2,1
15.50003048,2,1
15.60003048,3,1
15.70003048,4,1
15.80003048,3,1
15.90003048,4,1
16.00003048,2,1
16.10003048,2,1
16.20003048,3,1
18.90003048,3,1
19.00003048,3,1
19.10003048,2,1
19.20003048,1,1
19.30003048,1,1
19.40003048,4,1
19.50003048,2,1
19.60003048,4,1
19.70003048,3,1
19.80003048,4,1
19.90003048,2,1
20.00003048,3,1
20.10003048,3,1
20.20003048,3,1
20.30003048,3,1
20.40003048,1,1
20.50003048,3,1
20.60003048,2,1
20.70003048,4,1
20.80003048,1,1
22.70003048,3,1
22.80003048,3,1
37.30003048,2,1
42.10003048,3,1
42.20003048,3,1
42.30003048,1,1
42.40003048,0,1
42.50003048,3,1
42.60003048,3,1
42.70003048,3,1
42.80003048,0,1
42.90003048,1,1
43.00003048,3,1
43.10003048,0,1
45.10003048,3,1
45.20003048,1,1
45.30003048,2,1
45.40003048,4,1
45.50003048,1,1
45.60003048,1,1
45.70003048,1,1
45.80003048,4,1
49.10003048,0,1
49.20003048,1,1
49.30003048,0,1
49.60003048,1,1
49.70003048,1,1
49.80003048,0,1
49.90003048,0,1
50.00003048,1,1
50.10003048,1,1
50.20003048,2,1
