simTime,atmosphericLoss_dB,fspl_dB,power_dBm
3.6,50.1282,213.248,-140.824
3.6,50.2434,213.109,-140.799
3.6,50.3586,213.136,-140.942
3.7,49.8984,213.076,-140.422
3.7,50.0132,213.085,-140.545
3.7,50.1282,213.248,-140.824
3.7,50.2434,213.109,-140.799
3.7,50.3586,213.136,-140.942
3.8,49.8984,213.076,-140.422
3.8,50.0132,213.085,-140.545
3.8,50.1282,213.248,-140.824
3.8,50.2434,213.109,-140.799
3.8,50.3586,213.136,-140.942
3.9,49.8984,213.076,-140.422
3.9,50.0132,213.085,-140.545
3.9,50.1282,213.248,-140.824
3.9,50.2434,213.109,-140.799
3.9,50.3586,213.136,-140.942
4,49.8984,213.076,-140.422
4,50.0132,213.085,-140.545
4,50.1282,213.248,-140.824
4,50.2434,213.109,-140.799
4,50.3586,213.136,-140.942
4.1,49.8984,213.076,-140.422
4.1,50.0132,213.085,-140.545
4.1,50.1282,213.248,-140.824
4.1,50.2434,213.109,-140.799
4.1,50.3586,213.136,-140.942
4.2,49.8984,213.076,-140.422
4.2,50.0132,213.085,-140.545
4.2,50.1282,213.248,-140.824
4.2,50.2434,213.109,-140.799
4.2,50.3586,213.136,-140.942
4.3,49.8984,213.076,-140.422
4.3,50.0132,213.085,-140.545
4.3,50.1282,213.248,-140.824
4.3,50.2434,213.109,-140.799
4.3,50.3586,213.136,-140.942
4.4,49.8984,213.076,-140.422
4.4,50.0132,213.085,-140.545
4.4,50.1282,213.248,-140.824
4.4,50.2434,213.109,-140.799
4.4,50.3586,213.136,-140.942
4.5,49.8984,213.076,-140.422
4.5,50.0132,213.085,-140.545
4.5,50.1282,213.248,-140.824
4.5,50.2434,213.109,-140.799
4.5,50.3586,213.136,-140.942
4.6,49.8984,213.076,-140.422
4.6,50.0132,213.085,-140.545
4.6,50.1282,213.248,-140.824
4.6,50.2434,213.109,-140.799
4.6,50.3586,213.136,-140.942
4.7,49.8984,213.076,-140.422
4.7,50.0132,213.085,-140.545
4.7,50.1282,213.248,-140.824
4.7,50.2434,213.109,-140.799
4.7,50.3586,213.136,-140.942
4.8,49.8984,213.076,-140.422
4.8,50.0132,213.085,-140.545
4.8,50.1282,213.248,-140.824
4.8,50.2434,213.109,-140.799
4.8,50.3586,213.136,-140.942
4.9,49.8984,213.076,-140.422
4.9,50.0132,213.085,-140.545
4.9,50.1282,213.248,-140.824
4.9,50.2434,213.109,-140.799
4.9,50.3586,213.136,-140.942
5,49.8984,213.076,-140.422
5,50.0132,213.085,-140.545
5,50.1282,213.248,-140.824
5,50.2434,213.109,-140.799
5,50.3586,213.136,-140.942
5.1,49.8984,213.076,-140.422
5.1,50.0132,213.085,-140.545
5.1,50.1282,213.248,-140.824
5.1,50.2434,213.109,-140.799
5.1,50.3586,213.136,-140.942
5.2,49.8984,213.076,-140.422
5.2,50.0132,213.085,-140.545
5.2,50.1282,213.248,-140.824
5.2,50.2434,213.109,-140.799
5.2,50.3586,213.136,-140.942
5.3,49.8984,213.076,-140.422
5.3,50.0132,213.085,-140.545
5.3,50.1282,213.248,-140.824
5.3,50.2434,213.109,-140.799
5.3,50.3586,213.136,-140.942
5.4,49.8984,213.076,-140.422
5.4,50.0132,213.085,-140.545
5.4,50.1282,213.248,-140.824
5.4,50.2434,213.109,-140.799
5.4,50.3586,213.136,-140.942
5.5,49.8984,213.076,-140.422
5.5,50.0132,213.085,-140.545
5.5,50.1282,213.248,-140.824
5.5,50.2434,213.109,-140.799
5.5,50.3586,213.136,-140.942
5.6,49.8984,213.076,-140.422
5.6,50.0132,213.085,-140.545
5.6,50.1282,213.248,-140.824
5.6,50.2434,213.109,-140.799
5.6,50.3586,213.136,-140.942
5.7,49.8984,213.076,-140.422
5.7,50.0132,213.085,-140.545
5.7,50.1282,213.248,-140.824
5.7,50.2434,213.109,-140.799
5.7,50.3586,213.136,-140.942
5.8,49.8984,213.076,-140.422
5.8,50.0132,213.085,-140.545
5.8,50.1282,213.248,-140.824
5.8,50.2434,213.109,-140.799
5.8,50.3586,213.136,-140.942
5.9,49.8984,213.076,-140.422
5.9,50.0132,213.085,-140.545
5.9,50.1282,213.248,-140.824
5.9,50.2434,213.109,-140.799
5.9,50.3586,213.136,-140.942
6,49.8984,213.076,-140.422
6,50.0132,213.085,-140.545
6,50.1282,213.248,-140.824
6,50.2434,213.109,-140.799
6,50.3586,213.136,-140.942
6.1,49.8984,213.076,-140.422
6.1,50.0132,213.085,-140.545
6.1,50.1282,213.248,-140.824
6.1,50.2434,213.109,-140.799
6.1,50.3586,213.136,-140.942
6.2,49.8984,213.076,-140.422
6.2,50.0132,213.085,-140.545
6.2,50.1282,213.248,-140.824
6.2,50.2434,213.109,-140.799
6.2,50.3586,213.136,-140.942
6.3,49.8984,213.076,-140.422
6.3,50.0132,213.085,-140.545
6.3,50.1282,213.248,-140.824
6.3,50.2434,213.109,-140.799
6.3,50.3586,213.136,-140.942
6.4,49.8984,213.076,-140.422
6.4,50.0132,213.085,-140.545
6.4,50.1282,213.248,-140.824
6.4,50.2434,213.109,-140.799
6.4,50.3586,213.136,-140.942
6.5,49.8984,213.076,-140.422
6.5,50.0132,213.085,-140.545
6.5,50.1282,213.248,-140.824
6.5,50.2434,213.109,-140.799
6.5,50.3586,213.136,-140.942
6.6,49.8984,213.076,-140.422
6.6,50.0132,213.085,-140.545
6.6,50.1282,213.248,-140.824
6.6,50.2434,213.109,-140.799
6.6,50.3586,213.136,-140.942
6.7,49.8984,213.076,-140.422
6.7,50.0132,213.085,-140.545
6.7,50.1282,213.248,-140.824
6.7,50.2434,213.109,-140.799
6.7,50.3586,213.136,-140.942
6.8,49.8984,213.076,-140.422
6.8,50.0132,213.085,-140.545
6.8,50.1282,213.248,-140.824
6.8,50.2434,213.109,-140.799
6.8,50.3586,213.136,-140.942
6.9,49.8984,213.076,-140.422
6.9,50.0132,213.085,-140.545
6.9,50.1282,213.248,-140.824
6.9,50.2434,213.109,-140.799
6.9,50.3586,213.136,-140.942
7,49.8984,213.076,-140.422
7,50.0132,213.085,-140.545
7,50.1282,213.248,-140.824
7,50.2434,213.109,-140.799
7,50.3586,213.136,-140.942
7.1,49.8984,213.076,-140.422
