simTime,MCC_idx,atmosphericLoss_dB,fspl_dB,power_dBm,weatherAtMCC
1.8,1,25.4278,206.475,-109.35,53.0592
1.8,2,20.6521,206.648,-104.747,41.3012
1.8,3,14.1487,206.518,-98.1143,26.3163
1.8,4,0,206.556,-84.0033,0
1.80002024,1,17.852,205.165,-142.92,53.0592
1.9,0,8.42486,206.456,-92.3283,14.5502
1.9,1,25.4278,206.475,-109.35,53.0592
1.9,2,23.5024,206.648,-107.598,48.0859
1.9,3,14.1487,206.518,-98.1143,26.3163
1.9,4,7.40392,206.556,-91.4072,12.2134
2,0,0.194819,206.456,-84.0982,0.173079
2,1,25.4278,206.475,-109.35,53.0592
2,2,23.5024,206.648,-107.598,48.0859
2,3,14.1487,206.518,-98.1143,26.3163
2,4,7.40392,206.556,-91.4072,12.2134
2.00002024,4,5.21072,205.204,-130.413,12.2134
2.1,0,0.194819,206.456,-84.0982,0.173079
2.1,1,25.4278,206.475,-109.35,53.0592
2.1,2,23.5024,206.648,-107.598,48.0859
2.1,3,11.4691,206.518,-95.4347,20.5563
2.1,4,7.40392,206.556,-91.4072,12.2134
2.10002024,1,14.6986,205.139,-139.836,42.2138
2.2,0,0,206.456,-83.9034,0
2.2,1,20.9363,206.475,-104.858,42.2138
2.2,2,19.5581,206.648,-103.653,38.7394
2.2,3,11.4691,206.518,-95.4347,20.5563
2.2,4,7.40392,206.556,-91.4072,12.2134
2.20002024,1,14.6986,205.139,-139.641,42.2138
2.3,0,1.76716,206.456,-85.6706,2.31678
2.3,1,20.9363,206.475,-104.858,42.2138
2.3,2,19.5581,206.648,-103.653,38.7394
2.3,3,11.4691,206.518,-95.4347,20.5563
2.3,4,7.40392,206.556,-91.4072,12.2134
2.30002024,3,8.06518,205.182,-134.818,20.5563
2.4,0,1.76716,206.456,-85.6706,2.31678
2.4,1,20.9363,206.475,-104.858,42.2138
2.4,2,19.5581,206.648,-103.653,38.7394
2.4,3,11.4691,206.518,-95.4347,20.5563
2.4,4,7.40392,206.556,-91.4072,12.2134
2.40002024,1,14.6986,205.139,-141.408,42.2138
2.5,0,4.08838,206.456,-87.9918,6.21503
2.5,1,20.9363,206.475,-104.858,42.2138
2.5,2,19.5581,206.648,-103.653,38.7394
2.5,3,11.4691,206.518,-95.4347,20.5563
2.5,4,0,206.556,-84.0033,0
2.50002024,1,14.6986,205.139,-143.729,42.2138
2.50003024,0,4.08312,205.143,-129.129,9.4175
2.6,0,5.82063,206.456,-89.7241,9.4175
2.6,1,20.9363,206.475,-104.858,42.2138
2.6,2,9.33403,206.648,-93.4293,16.2257
2.6,3,11.4691,206.518,-95.4347,20.5563
2.6,4,0,206.556,-84.0033,0
2.60002024,4,0,205.204,-130.828,0
2.60003024,0,7.20253,205.143,-132.249,18.3623
2.7,0,10.2674,206.456,-94.1709,18.3623
2.7,1,13.6123,206.475,-97.5343,25.4385
2.7,2,10.4336,206.648,-94.5289,18.4971
2.7,3,5.0658,206.518,-89.0315,7.86028
2.7,4,0,206.556,-84.0033,0
2.70002024,2,7.33107,205.167,-137.43,18.4971
2.70003024,0,0.697337,205.143,-125.744,1.17743
2.8,0,0.994078,206.456,-84.8975,1.17743
2.8,1,10.1856,206.475,-94.1076,18.0852
2.8,2,10.4336,206.648,-94.5289,18.4971
2.8,3,5.0658,206.518,-89.0315,7.86028
2.8,4,0,206.556,-84.0033,0
2.80002024,3,2.89033,205.182,-128.87,6.14656
2.80003024,1,13.5918,205.145,-143.669,38.4995
2.80004024,0,0.697337,205.143,-125.744,1.17743
2.9,0,0.994078,206.456,-84.8975,1.17743
2.9,1,19.3598,206.475,-103.282,38.4995
2.9,2,3.67477,206.648,-87.77,5.41904
2.9,3,4.1102,206.518,-88.0759,6.14656
2.9,4,0,206.556,-84.0033,0
2.90002024,2,2.19857,205.161,-128.157,4.48516
2.90003024,4,0,205.358,-129.028,0
2.90004024,0,0.697337,205.124,-129.797,1.17743
2.90005024,2,2.19857,205.186,-127.288,4.48516
3,0,0.994078,206.456,-84.8975,1.17743
3,1,19.3598,206.475,-103.282,38.4995
3,2,3.12902,206.648,-87.2243,4.48516
3,3,0,206.518,-83.9657,0
3,4,0,206.556,-84.0033,0
3.00002024,2,0,205.161,-125.958,0
3.00003024,0,0.697337,205.272,-129.093,1.17743
3.00004024,2,0,205.167,-125.033,0
3.00005024,0,0.697337,205.143,-125.744,1.17743
3.1,0,0.994078,206.456,-84.8975,1.17743
3.1,1,9.44945,206.475,-93.3714,16.5574
3.1,2,0,206.648,-84.0953,0
3.1,3,10.1916,206.518,-94.1572,17.8898
3.1,4,0,206.556,-84.0033,0
3.10002024,4,0,205.204,-126.001,0
3.10003024,4,0,205.358,-125.354,0
3.10004024,0,2.36197,205.143,-127.408,4.94615
3.2,0,3.36707,206.456,-87.2705,4.94615
3.2,1,9.71214,206.475,-93.6341,17.1003
3.2,2,0,206.648,-84.0953,0
3.2,3,10.1916,206.518,-94.1572,17.8898
3.2,4,0,206.556,-84.0033,0
3.20002024,3,7.1668,205.182,-135.519,17.8898
3.20003024,4,0,205.358,-125.354,0
3.20004024,2,0,205.186,-125.09,0
3.3,0,3.36707,206.456,-87.2705,4.94615
3.3,1,0,206.475,-83.922,0
3.3,2,0,206.648,-84.0953,0
3.3,3,10.1916,206.518,-94.1572,17.8898
3.3,4,0,206.556,-84.0033,0
3.30002024,1,0,205.139,-128.309,0
3.30003024,2,0,205.161,-124.983,0
3.30004024,3,7.1668,205.337,-132.499,17.8898
3.30005024,0,2.36197,205.143,-127.408,4.94615
3.4,0,3.36707,206.456,-87.2705,4.94615
3.4,1,0,206.475,-83.922,0
3.4,2,0,206.648,-84.0953,0
3.4,3,10.1916,206.518,-94.1572,17.8898
3.4,4,0,206.556,-84.0033,0
3.40002024,4,9.2592,205.204,-137.633,24.02
3.40003024,4,9.2592,205.204,-134.285,24.02
3.40004024,4,9.2592,205.358,-134.613,24.02
3.40005024,1,0,205.165,-125.068,0
3.5,0,3.36707,206.456,-87.2705,4.94615
3.5,1,0,206.475,-83.922,0
3.5,2,0,206.648,-84.0953,0
3.5,3,10.1916,206.518,-94.1572,17.8898
3.5,4,13.1564,206.556,-97.1597,24.02
3.50002024,3,7.1668,205.182,-135.519,17.8898
3.50003024,4,9.2592,205.204,-134.285,24.02
3.50004024,1,0,205.294,-125.289,0
3.6,0,3.36707,206.456,-87.2705,4.94615
3.6,1,0,206.475,-83.922,0
3.6,2,0,206.648,-84.0953,0
3.6,3,10.1916,206.518,-94.1572,17.8898
3.6,4,13.1564,206.556,-97.1597,24.02
3.60002024,2,0,205.161,-128.331,0
3.60003024,4,9.2592,205.204,-134.285,24.02
3.60004024,3,7.1668,205.337,-132.499,17.8898
3.7,0,0,206.456,-83.9034,0
3.7,1,0,206.475,-83.922,0
3.7,2,0,206.648,-84.0953,0
3.7,3,10.1916,206.518,-94.1572,17.8898
3.7,4,13.1564,206.556,-97.1597,24.02
3.70002024,4,2.6481,205.204,-127.655,5.50804
3.70003024,0,0,205.117,-124.939,0
3.70004024,0,0,205.272,-125.267,0
3.8,0,0,206.456,-83.9034,0
3.8,1,0,206.475,-83.922,0
3.8,2,0,206.648,-84.0953,0
3.8,3,10.1916,206.518,-94.1572,17.8898
3.8,4,3.76268,206.556,-87.766,5.50804
3.80002024,2,0,205.161,-124.964,0
3.80003024,4,7.14051,205.204,-132.166,17.6936
3.80004024,0,0,205.272,-125.267,0
3.80005024,1,6.87433,205.165,-135.705,17.2649
3.9,0,0,206.456,-83.9034,0
3.9,1,9.79156,206.475,-93.7136,17.2649
3.9,2,0,206.648,-84.0953,0
3.9,3,10.1916,206.518,-94.1572,17.8898
3.9,4,10.146,206.556,-94.1492,17.6936
3.90002024,2,0,205.161,-124.964,0
3.90003024,1,6.87433,205.294,-132.163,17.2649
4,0,1.22744,206.456,-85.1309,1.50895
4,1,9.79156,206.475,-93.7136,17.2649
4,2,0,206.648,-84.0953,0
4,3,10.1916,206.518,-94.1572,17.8898
4,4,6.98832,206.556,-90.9916,11.4109
4.00002024,3,12.562,205.182,-138.775,34.6219
4.00003024,4,4.91823,205.358,-130.272,11.4109
4.1,0,1.22744,206.456,-85.1309,1.50895
4.1,1,3.70105,206.475,-87.623,5.49633
4.1,2,0,206.648,-84.0953,0
4.1,3,17.8638,206.518,-101.829,34.6219
4.1,4,6.98832,206.556,-90.9916,11.4109
4.10002024,1,2.59838,205.139,-128.768,5.49633
4.10003024,2,0,205.161,-128.684,0
4.10004024,3,12.562,205.337,-137.894,34.6219
4.2,0,8.9757,206.456,-92.8791,15.6757
4.2,1,3.70105,206.475,-87.623,5.49633
4.2,2,0,206.648,-84.0953,0
4.2,3,17.8638,206.518,-101.829,34.6219
4.2,4,6.98832,206.556,-90.9916,11.4109
4.20002024,4,4.91823,205.204,-133.645,11.4109
4.20003024,1,2.59838,205.294,-127.887,5.49633
4.3,0,8.9757,206.456,-92.8791,15.6757
4.3,1,3.70105,206.475,-87.623,5.49633
4.3,2,0,206.648,-84.0953,0
4.3,3,17.8638,206.518,-101.829,34.6219
4.3,4,6.98832,206.556,-90.9916,11.4109
4.30002024,2,8.54112,205.161,-137.225,22.1391
4.30003024,0,6.29638,205.272,-131.564,15.6757
4.4,0,8.9757,206.456,-92.8791,15.6757
4.4,1,3.70105,206.475,-87.623,5.49633
4.4,2,12.1558,206.648,-96.251,22.1391
4.4,3,17.8638,206.518,-101.829,34.6219
4.4,4,12.8541,206.556,-96.8574,23.372
4.40002024,0,5.68351,205.117,-134.324,13.8965
4.5,0,8.10204,206.456,-92.0055,13.8965
4.5,1,3.70105,206.475,-87.623,5.49633
4.5,2,0,206.648,-84.0953,0
4.5,3,17.8638,206.518,-101.829,34.6219
4.5,4,12.8541,206.556,-96.8574,23.372
4.50002024,3,13.3418,205.182,-142.047,37.164
4.50003024,4,9.04644,205.358,-134.4,23.372
4.6,0,8.10204,206.456,-92.0055,13.8965
4.6,1,14.8469,206.475,-98.7689,28.1742
4.6,2,0,206.648,-84.0953,0
4.6,3,18.9727,206.518,-102.938,37.164
4.6,4,12.8541,206.556,-96.8574,23.372
4.60002024,4,9.04644,205.358,-134.4,23.372
4.7,0,8.10204,206.456,-92.0055,13.8965
4.7,1,14.8469,206.475,-98.7689,28.1742
4.7,2,8.47722,206.648,-92.5725,14.488
4.7,3,18.9727,206.518,-102.938,37.164
4.7,4,12.8541,206.556,-96.8574,23.372
4.8,0,5.00496,206.456,-88.9084,7.88489
4.8,1,14.8469,206.475,-98.7689,28.1742
4.8,2,12.7887,206.648,-96.8839,23.5013
4.8,3,18.9727,206.518,-102.938,37.164
4.8,4,16.735,206.556,-100.738,31.8787
4.80002024,3,13.3418,205.182,-143.332,37.164
4.9,0,5.34601,206.456,-89.2494,8.52072
4.9,1,14.8469,206.475,-98.7689,28.1742
4.9,2,12.7887,206.648,-96.8839,23.5013
4.9,3,18.9727,206.518,-102.938,37.164
4.9,4,15.2582,206.556,-99.2615,28.5956
4.90002024,2,12.5437,205.161,-142.854,34.7956
5,0,5.34601,206.456,-89.2494,8.52072
5,1,6.41664,206.475,-90.3386,10.501
5,2,17.8522,206.648,-101.947,34.7956
5,3,18.9727,206.518,-102.938,37.164
5,4,15.2582,206.556,-99.2615,28.5956
5.00002024,2,12.5437,205.161,-142.854,34.7956
5.1,0,8.17476,206.456,-92.0782,14.0434
5.1,1,6.41664,206.475,-90.3386,10.501
5.1,2,17.8522,206.648,-101.947,34.7956
5.1,3,18.9727,206.518,-102.938,37.164
5.1,4,15.2582,206.556,-99.2615,28.5956
5.2,0,8.17476,206.456,-92.0782,14.0434
5.2,1,12.527,206.475,-96.449,23.0696
5.2,2,17.8522,206.648,-101.947,34.7956
5.2,3,18.9727,206.518,-102.938,37.164
5.2,4,15.2582,206.556,-99.2615,28.5956
5.3,0,5.86441,206.456,-89.7678,9.50089
5.3,1,18.7915,206.475,-102.714,37.1736
5.3,2,17.8522,206.648,-101.947,34.7956
5.3,3,18.9727,206.518,-102.938,37.164
5.3,4,15.2582,206.556,-99.2615,28.5956
5.30002024,4,10.7384,205.204,-141.61,28.5956
5.4,0,5.86441,206.456,-89.7678,9.50089
5.4,1,18.7915,206.475,-102.714,37.1736
5.4,2,17.8522,206.648,-101.947,34.7956
5.4,3,18.9727,206.518,-102.938,37.164
5.4,4,15.2582,206.556,-99.2615,28.5956
5.40002024,2,12.5437,205.161,-143.372,34.7956
5.5,0,5.86441,206.456,-89.7678,9.50089
5.5,1,18.7915,206.475,-102.714,37.1736
5.5,2,17.8522,206.648,-101.947,34.7956
5.5,3,18.9727,206.518,-102.938,37.164
5.5,4,11.0882,206.556,-95.0915,19.6423
5.50002024,3,14.1641,205.182,-145.014,39.8732
5.6,0,5.86441,206.456,-89.7678,9.50089
5.6,1,18.7915,206.475,-102.714,37.1736
5.6,2,8.13953,206.648,-92.2348,13.8114
5.6,3,20.1421,206.518,-104.108,39.8732
5.6,4,11.0882,206.556,-95.0915,19.6423
