simTime,MCCIndex,specWeatherModel
2.70001,1,5.9078
2.7,2,9.90793
2.70001,2,9.90793
2.7,3,30.6579
2.70001,3,37.261
2.7,4,0.499919
2.70001,4,0.499919
2.8,0,72.4176
2.80001,0,72.4176
2.8,1,5.9078
2.80001,1,5.9078
2.8,2,9.90793
2.80001,2,9.90793
2.8,3,37.261
2.80001,3,37.261
2.8,4,0.499919
2.80001,4,0
2.9,0,72.4176
2.90001,0,72.4176
2.9,1,5.9078
2.90001,1,5.9078
2.9,2,9.90793
2.90001,2,9.90793
2.9,3,37.261
2.90001,3,37.261
2.9,4,0
2.90001,4,0
3,0,72.4176
3.00001,0,48.9256
3,1,5.9078
3.00001,1,5.9078
3,2,9.90793
3.00001,2,0
3,3,37.261
3.00001,3,37.261
3,4,0
3.00001,4,0
3.1,0,48.9256
3.10001,0,48.9256
3.1,1,5.9078
3.10001,1,29.3604
3.1,2,0
3.10001,2,0
3.1,3,37.261
3.10001,3,44.3979
3.1,4,0
3.10001,4,0
3.2,0,48.9256
3.20001,0,48.9256
3.2,1,29.3604
3.20001,1,29.3604
3.2,2,0
3.20001,2,0
3.2,3,44.3979
3.20001,3,44.3979
3.2,4,0
3.20001,4,0
3.3,0,48.9256
3.30001,0,48.9256
3.3,1,29.3604
3.30001,1,8.50351
3.3,2,0
3.30001,2,0
3.3,3,44.3979
3.30001,3,44.3979
3.3,4,0
3.30001,4,0
3.4,0,48.9256
3.40001,0,61.4435
3.4,1,8.50351
3.40001,1,20.2015
3.4,2,0
3.40001,2,15.891
3.4,3,44.3979
3.40001,3,44.3979
3.4,4,0
3.40001,4,0
3.5,0,61.4435
3.50001,0,67.8187
3.5,1,20.2015
3.50001,1,20.2015
3.5,2,15.891
3.50001,2,15.891
3.5,3,44.3979
3.50001,3,44.3979
3.5,4,0
3.50001,4,0
3.6,0,67.8187
3.60001,0,67.8187
3.6,1,20.2015
3.60001,1,20.2015
3.6,2,15.891
3.60001,2,15.891
3.6,3,44.3979
3.60001,3,44.3979
3.6,4,0
3.60001,4,0
3.7,0,67.8187
3.70001,0,67.8187
3.7,1,20.2015
3.70001,1,20.2015
3.7,2,15.891
3.70001,2,15.891
3.7,3,44.3979
3.70001,3,44.3979
3.7,4,0
3.70001,4,0
3.8,0,67.8187
3.80001,0,61.8582
3.8,1,20.2015
3.80001,1,20.2015
3.8,2,15.891
3.80001,2,15.891
3.8,3,44.3979
3.80001,3,28.7819
3.8,4,0
3.80001,4,0
3.9,0,61.8582
3.90001,0,61.8582
3.9,1,20.2015
3.90001,1,20.2015
3.9,2,15.891
3.90001,2,31.1451
3.9,3,28.7819
3.90001,3,51.4046
3.9,4,0
3.90001,4,0
4,0,61.8582
4.00001,0,61.8582
4,1,20.2015
4.00001,1,20.2015
4,2,31.1451
4.00001,2,31.1451
4,3,51.4046
4.00001,3,34.114
4,4,0
4.00001,4,0
4.1,0,61.8582
4.10001,0,38.6815
4.1,1,20.2015
4.10001,1,20.2015
4.1,2,31.1451
4.10001,2,31.1451
4.1,3,34.114
4.10001,3,13.2071
4.1,4,0
4.10001,4,0
4.2,0,38.6815
4.20001,0,38.6815
4.2,1,20.2015
4.20001,1,20.2015
4.2,2,31.1451
4.20001,2,19.9673
4.2,3,13.2071
4.20001,3,15.2676
4.2,4,0
4.20001,4,0
4.3,0,38.6815
4.30001,0,45.6297
4.3,1,20.2015
4.30001,1,33.0283
4.3,2,19.9673
4.30001,2,19.9673
4.3,3,15.2676
4.30001,3,15.2676
4.3,4,0
4.30001,4,0
4.4,0,45.6297
4.40001,0,45.6297
4.4,1,33.0283
4.40001,1,33.0283
4.4,2,19.9673
4.40001,2,2.09769
4.4,3,15.2676
4.40001,3,15.2676
4.4,4,0
4.40001,4,0
4.5,0,45.6297
4.50001,0,45.6297
4.5,1,33.0283
4.50001,1,42.162
4.5,2,2.09769
4.50001,2,2.09769
4.5,3,15.2676
4.50001,3,15.2676
4.5,4,0
4.50001,4,0
4.6,0,45.6297
4.60001,0,39.1046
4.6,1,42.162
4.60001,1,59.097
4.6,2,2.09769
4.60001,2,7.08831
4.6,3,15.2676
4.60001,3,15.2676
4.6,4,0
4.60001,4,22.9981
4.7,0,39.1046
4.70001,0,39.1046
4.7,1,59.097
4.70001,1,59.097
4.7,2,7.08831
4.70001,2,9.9768
4.7,3,15.2676
4.70001,3,38.5213
4.7,4,22.9981
4.70001,4,22.9981
4.8,0,39.1046
4.80001,0,39.1046
4.8,1,59.097
4.80001,1,59.097
4.8,2,9.9768
4.80001,2,9.9768
4.8,3,38.5213
4.80001,3,38.5213
4.8,4,22.9981
4.80001,4,22.9981
4.9,0,39.1046
4.90001,0,39.1046
4.9,1,59.097
4.90001,1,59.097
4.9,2,9.9768
4.90001,2,9.9768
4.9,3,38.5213
4.90001,3,38.5213
4.9,4,22.9981
4.90001,4,22.9981
5,0,39.1046
5.00001,0,15.8261
5,1,59.097
5.00001,1,59.097
5,2,9.9768
5.00001,2,9.9768
5,3,38.5213
5.00001,3,38.5213
5,4,22.9981
5.00001,4,22.9981
5.1,0,15.8261
5.10001,0,15.8261
5.1,1,59.097
5.10001,1,59.097
5.1,2,9.9768
5.10001,2,9.9768
5.1,3,38.5213
5.10001,3,38.5213
5.1,4,22.9981
5.10001,4,6.75087
5.2,0,15.8261
5.20001,0,15.8261
5.2,1,59.097
5.20001,1,57.0705
5.2,2,9.9768
5.20001,2,9.9768
5.2,3,38.5213
5.20001,3,33.8435
5.2,4,6.75087
5.20001,4,6.75087
